"Jahr";"Stadtraum";"Wegezweck";"Anteil Weg nur zu Fuß";"Anteil Weg mit Fahrrad";"Anteil Weg mit Straßenbahn";"Anteil Weg mit Bus (Stadtverk.)";"Anteil Weg mit Bus (Regionalverk.)";"Anteil Weg mit S-Bahn/Bahn AG";"Anteil Weg mit Motorrad etc.";"Anteil Weg als Pkw-Mitfahrer";"Anteil Weg als Pkw-Selbstfahrer";"Anteil Weg mit sonstigem Verkehrsmittel"
"1995";"10 StB Leuben";"Weg zum Einkaufen";10;16;17;7;0;2;0;9;38;1
"1995";"11 Prohlis, Reick (mit Sternhäuser, Am Koitschgraben)";"Weg zur Arbeit";5;8;22;13;1;5;2;1;44;0
"1995";"11 Prohlis, Reick (mit Sternhäuser, Am Koitschgraben)";"Weg zum Einkaufen";16;6;17;10;1;0;2;9;40;1
"1995";"12 Niedersedlitz, Leubnitz, Strehlen (ohne Sternhäuser, Am Koitschgraben)";"Weg zur Arbeit";1;12;16;18;1;2;3;1;46;0
"1995";"12 Niedersedlitz, Leubnitz, Strehlen (ohne Sternhäuser, Am Koitschgraben)";"Weg zum Einkaufen";5;10;11;13;1;1;2;8;47;0
"1995";"13 Südvorstadt, Zschertnitz";"Weg zur Arbeit";8;15;21;12;1;4;3;2;34;1
"1995";"13 Südvorstadt, Zschertnitz";"Weg zum Einkaufen";11;10;23;12;1;1;1;6;35;1
"1995";"14 Mockritz, Coschütz, Plauen";"Weg zur Arbeit";5;8;23;15;2;1;1;3;44;0
"1995";"14 Mockritz, Coschütz, Plauen";"Weg zum Einkaufen";6;7;22;14;0;0;1;9;42;0
"1995";"15 Cotta, Löbtau, Naußlitz, Dölzschen";"Weg zur Arbeit";5;6;32;10;1;1;0;3;41;1
"1995";"15 Cotta, Löbtau, Naußlitz, Dölzschen";"Weg zum Einkaufen";9;8;22;8;1;0;1;9;42;1
"1995";"16 Gorbitz";"Weg zur Arbeit";5;1;30;7;0;3;1;2;50;1
"1995";"16 Gorbitz";"Weg zum Einkaufen";12;5;25;6;1;0;1;8;43;0
"1995";"17 Briesnitz und westliche OS";"Weg zur Arbeit";0;13;13;10;0;0;0;2;63;0
"1995";"17 Briesnitz und westliche OS";"Weg zum Einkaufen";2;6;14;8;2;1;0;12;56;1
"1995";"18 Dresden gesamt";"Weg zur Arbeit";6;11;25;10;1;2;1;3;41;1
"1995";"18 Dresden gesamt";"Weg zum Einkaufen";10;10;21;10;1;1;1;8;39;1
"1996";"01 StB Altstadt ohne Johannstadt";"Weg zur Arbeit";12;5;27;8;1;3;1;4;41;0
"1996";"01 StB Altstadt ohne Johannstadt";"Weg zum Einkaufen";9;5;34;9;1;1;0;7;33;1
"1996";"02 Johannstadt";"Weg zur Arbeit";7;16;26;8;0;1;0;6;36;1
"1996";"02 Johannstadt";"Weg zum Einkaufen";9;9;30;16;1;0;0;8;27;1
"1996";"03 StB Neustadt ohne Leipziger Vorstadt";"Weg zur Arbeit";2;10;32;5;1;3;0;5;42;0
"1996";"03 StB Neustadt ohne Leipziger Vorstadt";"Weg zum Einkaufen";7;10;29;6;1;0;0;11;36;1
"1996";"04 Leipziger Vorstadt, Pieschen";"Weg zur Arbeit";4;13;28;4;1;3;0;2;43;1
"1996";"04 Leipziger Vorstadt, Pieschen";"Weg zum Einkaufen";8;11;21;8;1;1;0;11;39;0
"1996";"05 Mickten, Kaditz, Trachau";"Weg zur Arbeit";9;11;26;8;0;5;0;2;38;1
"1996";"05 Mickten, Kaditz, Trachau";"Weg zum Einkaufen";3;8;22;14;1;2;0;12;38;0
"1996";"06 StB Klotzsche und nördliche OS";"Weg zur Arbeit";7;10;13;9;0;5;2;2;53;0
"1996";"06 StB Klotzsche und nördliche OS";"Weg zum Einkaufen";4;14;15;11;1;1;2;11;41;1
"1996";"07 StB Loschwitz und OS Schönfeld-Weißig";"Weg zur Arbeit";4;11;11;16;0;2;3;1;51;1
"1996";"07 StB Loschwitz und OS Schönfeld-Weißig";"Weg zum Einkaufen";2;9;17;15;2;0;2;7;45;1
"1996";"08 Blasewitz, Striesen";"Weg zur Arbeit";3;14;27;10;0;1;0;2;41;1
"1996";"08 Blasewitz, Striesen";"Weg zum Einkaufen";7;11;24;10;0;0;0;8;39;1
"1996";"09 Tolkewitz, Seidnitz, Gruna";"Weg zur Arbeit";2;10;30;12;0;2;0;4;39;1
"1996";"09 Tolkewitz, Seidnitz, Gruna";"Weg zum Einkaufen";4;10;24;15;1;0;0;10;34;1
"1996";"10 StB Leuben";"Weg zur Arbeit";4;11;20;5;0;6;0;4;49;1
"1996";"10 StB Leuben";"Weg zum Einkaufen";5;14;19;5;0;1;0;9;46;1
"1996";"11 Prohlis, Reick (mit Sternhäuser, Am Koitschgraben)";"Weg zur Arbeit";5;7;26;15;1;2;0;5;38;0
"1996";"11 Prohlis, Reick (mit Sternhäuser, Am Koitschgraben)";"Weg zum Einkaufen";7;4;20;15;1;1;0;12;38;2
"1996";"12 Niedersedlitz, Leubnitz, Strehlen (ohne Sternhäuser, Am Koitschgraben)";"Weg zur Arbeit";6;6;13;16;1;4;1;5;49;0
"1996";"12 Niedersedlitz, Leubnitz, Strehlen (ohne Sternhäuser, Am Koitschgraben)";"Weg zum Einkaufen";3;8;13;14;1;1;0;11;50;0
"1996";"13 Südvorstadt, Zschertnitz";"Weg zur Arbeit";14;13;20;18;0;1;0;1;32;0
"1996";"13 Südvorstadt, Zschertnitz";"Weg zum Einkaufen";5;7;26;16;0;2;0;11;33;0
"1996";"14 Mockritz, Coschütz, Plauen";"Weg zur Arbeit";6;6;18;14;2;2;0;3;48;0
"1996";"14 Mockritz, Coschütz, Plauen";"Weg zum Einkaufen";4;7;18;14;1;1;0;12;44;1
"1996";"15 Cotta, Löbtau, Naußlitz, Dölzschen";"Weg zur Arbeit";3;8;26;9;2;2;1;2;47;1
"1996";"15 Cotta, Löbtau, Naußlitz, Dölzschen";"Weg zum Einkaufen";6;5;25;10;0;0;0;11;42;1
"1996";"16 Gorbitz";"Weg zur Arbeit";3;3;29;8;0;1;0;3;53;0
"1996";"16 Gorbitz";"Weg zum Einkaufen";5;3;29;10;1;0;0;9;44;0
"1996";"17 Briesnitz und westliche OS";"Weg zur Arbeit";0;1;24;13;0;0;0;6;54;2
"1996";"17 Briesnitz und westliche OS";"Weg zum Einkaufen";1;6;18;12;1;1;0;11;51;0
"1996";"18 Dresden gesamt";"Weg zur Arbeit";5;9;24;10;1;3;1;3;44;1
"1996";"18 Dresden gesamt";"Weg zum Einkaufen";6;8;23;12;1;1;0;10;39;1
"2002";"01 StB Altstadt ohne Johannstadt";"Weg zur Arbeit";7;8;29;13;0;6;0;1;36;0
"2002";"01 StB Altstadt ohne Johannstadt";"Weg zum Einkaufen";16;6;23;10;1;1;0;6;35;2
"2002";"02 Johannstadt";"Weg zur Arbeit";8;9;33;13;1;2;0;5;30;0
"2002";"02 Johannstadt";"Weg zum Einkaufen";12;7;21;11;1;1;0;12;35;1
"2002";"03 StB Neustadt ohne Leipziger Vorstadt";"Weg zur Arbeit";9;21;21;5;1;2;0;3;38;1
"2002";"03 StB Neustadt ohne Leipziger Vorstadt";"Weg zum Einkaufen";13;16;16;2;1;0;1;10;41;1
"2002";"04 Leipziger Vorstadt, Pieschen";"Weg zur Arbeit";6;15;30;7;0;4;3;4;32;1
"2002";"04 Leipziger Vorstadt, Pieschen";"Weg zum Einkaufen";11;13;16;9;0;1;0;9;41;1
"2002";"05 Mickten, Kaditz, Trachau";"Weg zur Arbeit";2;13;17;9;2;3;1;5;49;1
"2002";"05 Mickten, Kaditz, Trachau";"Weg zum Einkaufen";4;7;11;8;1;1;0;12;54;2
"2002";"06 StB Klotzsche und nördliche OS";"Weg zur Arbeit";7;8;18;8;3;6;1;3;47;0
"2002";"06 StB Klotzsche und nördliche OS";"Weg zum Einkaufen";5;12;11;4;1;2;0;10;55;0
"2002";"07 StB Loschwitz und OS Schönfeld-Weißig";"Weg zur Arbeit";5;7;12;15;3;1;1;5;49;2
"2002";"07 StB Loschwitz und OS Schönfeld-Weißig";"Weg zum Einkaufen";2;7;9;10;1;0;1;15;55;1
"2002";"08 Blasewitz, Striesen";"Weg zur Arbeit";5;23;18;10;1;1;1;3;37;0
"2002";"08 Blasewitz, Striesen";"Weg zum Einkaufen";11;16;14;7;0;1;0;9;41;1
"2002";"09 Tolkewitz, Seidnitz, Gruna";"Weg zur Arbeit";4;13;23;10;1;2;1;4;42;1
"2002";"09 Tolkewitz, Seidnitz, Gruna";"Weg zum Einkaufen";7;12;15;10;0;1;1;12;41;1
"2002";"10 StB Leuben";"Weg zur Arbeit";4;9;18;6;1;5;2;2;52;0
"2002";"10 StB Leuben";"Weg zum Einkaufen";5;13;10;5;1;1;1;10;54;1
"2002";"11 Prohlis, Reick (mit Sternhäuser, Am Koitschgraben)";"Weg zur Arbeit";4;12;25;16;0;0;0;3;38;2
"2002";"11 Prohlis, Reick (mit Sternhäuser, Am Koitschgraben)";"Weg zum Einkaufen";9;6;22;9;1;1;0;8;43;0
"2002";"12 Niedersedlitz, Leubnitz, Strehlen (ohne Sternhäuser, Am Koitschgraben)";"Weg zur Arbeit";2;10;9;18;1;3;2;6;47;1
"2002";"12 Niedersedlitz, Leubnitz, Strehlen (ohne Sternhäuser, Am Koitschgraben)";"Weg zum Einkaufen";6;9;8;11;2;1;1;14;50;0
"2002";"13 Südvorstadt, Zschertnitz";"Weg zur Arbeit";7;12;20;13;2;3;0;2;40;1
"2002";"13 Südvorstadt, Zschertnitz";"Weg zum Einkaufen";11;8;20;12;2;0;0;8;38;1
"2002";"14 Mockritz, Coschütz, Plauen";"Weg zur Arbeit";2;13;17;10;2;3;1;3;50;0
"2002";"14 Mockritz, Coschütz, Plauen";"Weg zum Einkaufen";3;9;15;11;1;0;0;10;51;1
"2002";"15 Cotta, Löbtau, Naußlitz, Dölzschen";"Weg zur Arbeit";1;13;20;9;1;1;2;3;49;2
"2002";"15 Cotta, Löbtau, Naußlitz, Dölzschen";"Weg zum Einkaufen";8;9;15;5;0;0;1;9;51;0
"2002";"16 Gorbitz";"Weg zur Arbeit";2;6;34;10;3;1;1;4;39;1
"2002";"16 Gorbitz";"Weg zum Einkaufen";15;3;27;8;1;1;0;10;34;2
"2002";"17 Briesnitz und westliche OS";"Weg zur Arbeit";2;6;12;11;2;1;4;4;59;0
"2002";"17 Briesnitz und westliche OS";"Weg zum Einkaufen";3;5;5;6;1;1;1;13;64;0
"2002";"18 Dresden gesamt";"Weg zur Arbeit";5;12;20;11;1;3;1;3;44;1
"2002";"18 Dresden gesamt";"Weg zum Einkaufen";8;10;15;8;1;1;1;11;47;1
"2007";"01 StB Altstadt ohne Johannstadt";"Weg zur Arbeit";8;15;26;12;2;5;1;5;22;4
"2007";"01 StB Altstadt ohne Johannstadt";"Weg zum Einkaufen";10;14;28;11;1;2;0;9;23;2
"2007";"02 Johannstadt";"Weg zur Arbeit";7;28;23;14;1;2;0;4;22;0
"2007";"02 Johannstadt";"Weg zum Einkaufen";13;20;19;15;1;0;0;7;23;2
"2007";"03 StB Neustadt ohne Leipziger Vorstadt";"Weg zur Arbeit";5;34;24;5;0;5;0;3;23;2
"2007";"03 StB Neustadt ohne Leipziger Vorstadt";"Weg zum Einkaufen";6;31;20;6;0;1;0;6;29;1
"2007";"04 Leipziger Vorstadt, Pieschen";"Weg zur Arbeit";3;21;21;9;2;9;1;3;31;0
"2007";"04 Leipziger Vorstadt, Pieschen";"Weg zum Einkaufen";5;19;20;8;0;2;1;8;37;1
"2007";"05 Mickten, Kaditz, Trachau";"Weg zur Arbeit";2;20;19;10;0;4;1;4;40;1
"2007";"05 Mickten, Kaditz, Trachau";"Weg zum Einkaufen";3;16;14;11;1;2;0;11;40;2
"2007";"06 StB Klotzsche und nördliche OS";"Weg zur Arbeit";6;12;15;6;2;7;3;4;47;0
"2007";"06 StB Klotzsche und nördliche OS";"Weg zum Einkaufen";2;13;14;6;1;4;1;8;50;1
"2007";"07 StB Loschwitz und OS Schönfeld-Weißig";"Weg zur Arbeit";1;12;13;12;3;2;2;3;51;0
"2007";"07 StB Loschwitz und OS Schönfeld-Weißig";"Weg zum Einkaufen";3;10;14;11;1;1;2;7;52;0
"2007";"08 Blasewitz, Striesen";"Weg zur Arbeit";4;23;18;6;0;1;1;4;41;1
"2007";"08 Blasewitz, Striesen";"Weg zum Einkaufen";5;20;19;9;1;1;0;9;35;2
"2007";"09 Tolkewitz, Seidnitz, Gruna";"Weg zur Arbeit";2;18;19;8;0;5;1;3;44;1
"2007";"09 Tolkewitz, Seidnitz, Gruna";"Weg zum Einkaufen";8;18;15;11;1;1;1;8;37;1
"2007";"10 StB Leuben";"Weg zur Arbeit";1;17;13;8;2;6;2;3;45;3
"2007";"10 StB Leuben";"Weg zum Einkaufen";4;19;14;8;1;3;1;7;43;1
"2007";"11 Prohlis, Reick (mit Sternhäuser, Am Koitschgraben)";"Weg zur Arbeit";5;10;17;16;1;3;1;5;42;0
"2007";"11 Prohlis, Reick (mit Sternhäuser, Am Koitschgraben)";"Weg zum Einkaufen";6;10;22;14;1;2;0;10;33;2
"2007";"12 Niedersedlitz, Leubnitz, Strehlen (ohne Sternhäuser, Am Koitschgraben)";"Weg zur Arbeit";1;15;13;18;2;5;2;2;43;0
"2007";"12 Niedersedlitz, Leubnitz, Strehlen (ohne Sternhäuser, Am Koitschgraben)";"Weg zum Einkaufen";4;11;11;15;0;2;1;12;44;1
"2007";"13 Südvorstadt, Zschertnitz";"Weg zur Arbeit";12;15;14;19;2;6;1;4;27;0
"2007";"13 Südvorstadt, Zschertnitz";"Weg zum Einkaufen";5;10;20;19;2;1;1;6;36;2
"2007";"14 Mockritz, Coschütz, Plauen";"Weg zur Arbeit";4;19;14;13;1;3;1;4;41;1
"2007";"14 Mockritz, Coschütz, Plauen";"Weg zum Einkaufen";1;10;19;15;2;1;0;10;43;0
"2007";"15 Cotta, Löbtau, Naußlitz, Dölzschen";"Weg zur Arbeit";4;15;19;14;2;6;0;4;35;1
"2007";"15 Cotta, Löbtau, Naußlitz, Dölzschen";"Weg zum Einkaufen";5;14;21;10;1;1;0;10;37;1
"2007";"16 Gorbitz";"Weg zur Arbeit";1;9;28;14;1;2;2;3;40;0
"2007";"16 Gorbitz";"Weg zum Einkaufen";7;6;26;8;2;1;1;12;36;2
"2007";"17 Briesnitz und westliche OS";"Weg zur Arbeit";0;13;9;11;1;6;3;2;55;1
"2007";"17 Briesnitz und westliche OS";"Weg zum Einkaufen";0;11;8;9;1;3;0;10;57;1
"2007";"18 Dresden gesamt";"Weg zur Arbeit";4;18;18;11;1;5;1;4;38;1
"2007";"18 Dresden gesamt";"Weg zum Einkaufen";5;16;18;11;1;2;1;9;38;1
"2010";"01 StB Altstadt ohne Johannstadt";"Weg zur Arbeit";5;26;25;13;2;5;1;4;20;0
"2010";"01 StB Altstadt ohne Johannstadt";"Weg zum Einkaufen";15;13;19;8;2;1;1;9;30;2
"2010";"02 Johannstadt";"Weg zur Arbeit";2;20;22;18;0;1;2;3;31;2
"2010";"02 Johannstadt";"Weg zum Einkaufen";14;16;18;16;1;0;1;6;27;1
"2010";"03 StB Neustadt ohne Leipziger Vorstadt";"Weg zur Arbeit";5;30;22;4;0;2;1;3;31;2
"2010";"03 StB Neustadt ohne Leipziger Vorstadt";"Weg zum Einkaufen";9;31;21;4;0;0;0;4;30;0
"2010";"04 Leipziger Vorstadt, Pieschen";"Weg zur Arbeit";4;26;12;7;1;6;3;2;39;1
"2010";"04 Leipziger Vorstadt, Pieschen";"Weg zum Einkaufen";12;20;14;10;1;1;1;7;33;2
"2010";"05 Mickten, Kaditz, Trachau";"Weg zur Arbeit";5;15;15;9;0;2;2;1;52;1
"2010";"05 Mickten, Kaditz, Trachau";"Weg zum Einkaufen";4;13;13;13;1;1;1;9;44;1
"2010";"06 StB Klotzsche und nördliche OS";"Weg zur Arbeit";5;17;14;5;1;5;1;4;45;4
"2010";"06 StB Klotzsche und nördliche OS";"Weg zum Einkaufen";3;14;11;7;3;2;1;10;50;0
"2010";"07 StB Loschwitz und OS Schönfeld-Weißig";"Weg zur Arbeit";4;14;10;8;3;2;4;3;51;1
"2010";"07 StB Loschwitz und OS Schönfeld-Weißig";"Weg zum Einkaufen";3;12;10;13;2;0;1;8;50;0
"2010";"08 Blasewitz, Striesen";"Weg zur Arbeit";2;24;19;10;1;2;2;2;35;2
"2010";"08 Blasewitz, Striesen";"Weg zum Einkaufen";9;21;15;9;1;1;0;9;32;3
"2010";"09 Tolkewitz, Seidnitz, Gruna";"Weg zur Arbeit";1;19;16;9;0;2;5;5;44;1
"2010";"09 Tolkewitz, Seidnitz, Gruna";"Weg zum Einkaufen";11;20;15;12;1;1;1;8;32;1
"2010";"10 StB Leuben";"Weg zur Arbeit";4;16;16;7;1;5;3;4;45;0
"2010";"10 StB Leuben";"Weg zum Einkaufen";5;16;14;10;1;1;1;10;41;1
"2010";"11 Prohlis, Reick (mit Sternhäuser, Am Koitschgraben)";"Weg zur Arbeit";5;6;27;17;2;4;1;8;32;0
"2010";"11 Prohlis, Reick (mit Sternhäuser, Am Koitschgraben)";"Weg zum Einkaufen";15;11;18;10;0;1;1;13;30;1
"2010";"12 Niedersedlitz, Leubnitz, Strehlen (ohne Sternhäuser, Am Koitschgraben)";"Weg zur Arbeit";3;12;9;14;1;6;5;6;44;0
"2010";"12 Niedersedlitz, Leubnitz, Strehlen (ohne Sternhäuser, Am Koitschgraben)";"Weg zum Einkaufen";8;16;9;11;1;1;3;11;41;0
"2010";"13 Südvorstadt, Zschertnitz";"Weg zur Arbeit";10;22;24;18;0;3;2;2;18;1
"2010";"13 Südvorstadt, Zschertnitz";"Weg zum Einkaufen";8;18;22;17;2;1;1;6;26;1
"2010";"14 Mockritz, Coschütz, Plauen";"Weg zur Arbeit";0;19;15;12;1;2;0;6;43;2
"2010";"14 Mockritz, Coschütz, Plauen";"Weg zum Einkaufen";8;11;15;17;1;1;0;8;38;2
"2010";"15 Cotta, Löbtau, Naußlitz, Dölzschen";"Weg zur Arbeit";4;18;19;14;2;2;1;5;35;1
"2010";"15 Cotta, Löbtau, Naußlitz, Dölzschen";"Weg zum Einkaufen";7;12;23;9;1;0;1;10;37;2
"2010";"16 Gorbitz";"Weg zur Arbeit";2;9;25;9;2;3;1;8;42;0
"2010";"16 Gorbitz";"Weg zum Einkaufen";19;8;20;13;3;0;1;10;25;1
"2010";"17 Briesnitz und westliche OS";"Weg zur Arbeit";1;14;10;8;1;4;5;3;53;2
"2010";"17 Briesnitz und westliche OS";"Weg zum Einkaufen";1;14;11;7;1;0;1;11;53;0
"2010";"18 Dresden gesamt";"Weg zur Arbeit";4;19;17;10;1;3;2;4;39;1
"2010";"18 Dresden gesamt";"Weg zum Einkaufen";9;16;16;11;1;1;1;9;36;1
"2012";"01 StB Altstadt ohne Johannstadt";"Weg zur Arbeit";9;16;36;18;0;11;1;1;8;0
"2012";"01 StB Altstadt ohne Johannstadt";"Weg zum Einkaufen";29;9;26;13;0;2;1;3;17;0
"2012";"02 Johannstadt";"Weg zur Arbeit";1;22;27;20;0;3;0;2;25;1
"2012";"02 Johannstadt";"Weg zum Einkaufen";25;11;17;12;0;1;0;12;22;0
"2012";"03 StB Neustadt ohne Leipziger Vorstadt";"Weg zur Arbeit";8;38;14;4;0;5;1;4;23;3
"2012";"03 StB Neustadt ohne Leipziger Vorstadt";"Weg zum Einkaufen";27;27;11;4;0;2;0;3;26;1
"2012";"04 Leipziger Vorstadt, Pieschen";"Weg zur Arbeit";5;21;24;14;0;6;1;2;27;0
"2012";"04 Leipziger Vorstadt, Pieschen";"Weg zum Einkaufen";16;20;17;12;0;1;0;2;33;1
"2012";"05 Mickten, Kaditz, Trachau";"Weg zur Arbeit";2;18;18;9;0;3;3;1;46;1
"2012";"05 Mickten, Kaditz, Trachau";"Weg zum Einkaufen";6;15;18;9;0;3;1;7;39;2
"2012";"06 StB Klotzsche und nördliche OS";"Weg zur Arbeit";4;17;15;10;0;13;3;4;33;1
"2012";"06 StB Klotzsche und nördliche OS";"Weg zum Einkaufen";9;11;5;10;0;3;0;11;51;1
"2012";"07 StB Loschwitz und OS Schönfeld-Weißig";"Weg zur Arbeit";4;14;14;14;0;1;3;2;46;4
"2012";"07 StB Loschwitz und OS Schönfeld-Weißig";"Weg zum Einkaufen";4;11;10;15;0;0;0;6;54;0
"2012";"08 Blasewitz, Striesen";"Weg zur Arbeit";6;29;17;13;0;3;2;1;28;2
"2012";"08 Blasewitz, Striesen";"Weg zum Einkaufen";13;20;19;11;0;0;1;4;30;2
"2012";"09 Tolkewitz, Seidnitz, Gruna";"Weg zur Arbeit";5;23;25;12;0;3;4;2;27;0
"2012";"09 Tolkewitz, Seidnitz, Gruna";"Weg zum Einkaufen";13;15;19;13;0;1;1;8;30;1
"2012";"10 StB Leuben";"Weg zur Arbeit";4;15;19;18;0;9;2;4;30;0
"2012";"10 StB Leuben";"Weg zum Einkaufen";12;14;16;10;0;3;0;8;34;2
"2012";"11 Prohlis, Reick (mit Sternhäuser, Am Koitschgraben)";"Weg zur Arbeit";4;16;22;20;0;10;0;2;27;0
"2012";"11 Prohlis, Reick (mit Sternhäuser, Am Koitschgraben)";"Weg zum Einkaufen";18;9;26;13;0;3;0;7;25;0
"2012";"12 Niedersedlitz, Leubnitz, Strehlen (ohne Sternhäuser, Am Koitschgraben)";"Weg zur Arbeit";2;11;14;16;0;6;5;2;43;1
"2012";"12 Niedersedlitz, Leubnitz, Strehlen (ohne Sternhäuser, Am Koitschgraben)";"Weg zum Einkaufen";9;14;12;11;0;1;1;7;42;2
"2012";"13 Südvorstadt, Zschertnitz";"Weg zur Arbeit";12;23;14;21;0;8;0;2;19;2
"2012";"13 Südvorstadt, Zschertnitz";"Weg zum Einkaufen";19;17;18;11;0;2;1;3;27;3
"2012";"14 Mockritz, Coschütz, Plauen";"Weg zur Arbeit";11;23;15;9;0;3;4;3;29;3
"2012";"14 Mockritz, Coschütz, Plauen";"Weg zum Einkaufen";9;12;14;16;0;1;1;8;38;1
"2012";"15 Cotta, Löbtau, Naußlitz, Dölzschen";"Weg zur Arbeit";3;15;24;22;0;4;2;3;26;1
"2012";"15 Cotta, Löbtau, Naußlitz, Dölzschen";"Weg zum Einkaufen";14;13;17;13;0;0;0;8;35;0
"2012";"16 Gorbitz";"Weg zur Arbeit";1;2;40;17;0;10;0;1;26;2
"2012";"16 Gorbitz";"Weg zum Einkaufen";10;5;29;17;0;3;0;7;27;2
"2012";"17 Briesnitz und westliche OS";"Weg zur Arbeit";5;5;12;11;0;5;2;1;56;5
"2012";"17 Briesnitz und westliche OS";"Weg zum Einkaufen";5;6;10;8;0;2;0;9;57;3
"2012";"18 Dresden gesamt";"Weg zur Arbeit";5;19;20;14;0;6;2;2;30;2
"2012";"18 Dresden gesamt";"Weg zum Einkaufen";14;15;17;11;0;2;1;6;34;1
"2014";"01 StB Altstadt ohne Johannstadt";"Weg zur Arbeit";7;22;32;16;0;10;1;2;9;2
"2014";"01 StB Altstadt ohne Johannstadt";"Weg zum Einkaufen";26;17;26;10;0;2;0;4;14;1
"2014";"02 Johannstadt";"Weg zur Arbeit";4;19;26;18;0;2;2;3;26;1
"2014";"02 Johannstadt";"Weg zum Einkaufen";22;10;17;13;0;2;0;8;26;2
"2014";"03 StB Neustadt ohne Leipziger Vorstadt";"Weg zur Arbeit";7;35;23;6;0;6;1;3;18;1
"2014";"03 StB Neustadt ohne Leipziger Vorstadt";"Weg zum Einkaufen";32;26;11;2;0;0;1;5;22;2
"2014";"04 Leipziger Vorstadt, Pieschen";"Weg zur Arbeit";3;26;21;10;0;6;0;3;30;1
"2014";"04 Leipziger Vorstadt, Pieschen";"Weg zum Einkaufen";21;28;10;4;0;0;0;5;31;0
"2014";"05 Mickten, Kaditz, Trachau";"Weg zur Arbeit";4;19;19;11;0;1;1;2;42;2
"2014";"05 Mickten, Kaditz, Trachau";"Weg zum Einkaufen";12;16;13;10;0;2;0;11;36;2
"2014";"06 StB Klotzsche und nördliche OS";"Weg zur Arbeit";5;9;18;10;0;10;3;5;40;2
"2014";"06 StB Klotzsche und nördliche OS";"Weg zum Einkaufen";9;11;12;7;0;3;1;10;45;2
"2014";"07 StB Loschwitz und OS Schönfeld-Weißig";"Weg zur Arbeit";4;10;12;16;0;1;1;0;54;2
"2014";"07 StB Loschwitz und OS Schönfeld-Weißig";"Weg zum Einkaufen";10;9;9;12;0;0;0;6;53;1
"2014";"08 Blasewitz, Striesen";"Weg zur Arbeit";2;29;17;15;0;2;2;3;29;1
"2014";"08 Blasewitz, Striesen";"Weg zum Einkaufen";16;20;15;8;0;1;0;5;35;0
"2014";"09 Tolkewitz, Seidnitz, Gruna";"Weg zur Arbeit";2;20;17;10;0;6;1;4;38;2
"2014";"09 Tolkewitz, Seidnitz, Gruna";"Weg zum Einkaufen";14;15;17;11;0;2;0;6;35;0
"2014";"10 StB Leuben";"Weg zur Arbeit";3;15;15;15;0;7;2;3;42;0
"2014";"10 StB Leuben";"Weg zum Einkaufen";14;10;12;8;0;0;1;12;42;1
