"Jahr";"Quartal";"Monat";"Betriebsart";"Tourismus_Ankünfte";"Tourismus_Übernachtungen";"Tourismus_Betriebe";"Tourismus_Betten"
"2001";"3. Quartal";"07";"Jugendherbergen";5950;14966;6;723
"2001";"3. Quartal";"07";"sonstige";315;1793;5;167
"2001";"3. Quartal";"08";"Hotels";90811;189913;68;11337
"2001";"3. Quartal";"08";"Hotels garni";14693;30917;23;2062
"2001";"3. Quartal";"08";"Gasthöfe";1273;2870;12;241
"2001";"3. Quartal";"08";"Pensionen";2911;7619;36;844
"2001";"3. Quartal";"08";"Jugendherbergen";5115;12795;6;764
"2001";"3. Quartal";"08";"sonstige";393;1911;6;177
"2001";"3. Quartal";"09";"Hotels";95154;209425;68;11337
"2001";"3. Quartal";"09";"Hotels garni";15358;35109;24;2081
"2001";"3. Quartal";"09";"Gasthöfe";1240;2849;13;250
"2001";"3. Quartal";"09";"Pensionen";3457;8515;36;844
"2001";"3. Quartal";"09";"Jugendherbergen";5714;13871;6;764
"2001";"3. Quartal";"09";"sonstige";417;1786;6;182
"2001";"4. Quartal";"10";"Hotels";84728;184394;68;11339
"2001";"4. Quartal";"10";"Hotels garni";14401;32460;24;2080
"2001";"4. Quartal";"10";"Gasthöfe";1231;2712;13;250
"2001";"4. Quartal";"10";"Pensionen";2983;7469;34;821
"2001";"4. Quartal";"10";"Jugendherbergen";5851;13914;6;764
"2001";"4. Quartal";"10";"sonstige";300;1480;6;182
"2001";"4. Quartal";"11";"Hotels";72219;138417;68;11341
"2001";"4. Quartal";"11";"Hotels garni";9240;20086;24;2080
"2001";"4. Quartal";"11";"Gasthöfe";972;1981;13;250
"2001";"4. Quartal";"11";"Pensionen";2197;5333;33;803
"2001";"4. Quartal";"11";"Jugendherbergen";3971;8480;6;764
"2001";"4. Quartal";"11";"sonstige";347;1092;5;122
"2001";"4. Quartal";"12";"Hotels";78676;164276;67;11243
"2001";"4. Quartal";"12";"Hotels garni";10623;22954;24;2080
"2001";"4. Quartal";"12";"Gasthöfe";1077;2246;13;250
