"Jahr";"Stadtraum";"Eigentümer des Gebäudes";"Anteil in %"
"1995";"18 Dresden gesamt";"Eigentümer Wohnungsgenossenschaft";35
"1995";"18 Dresden gesamt";"Eigentümer Stadt";35
"1995";"18 Dresden gesamt";"Eigentümer privat";22
"1996";"01 StB Altstadt ohne Johannstadt";"Eigennutzung";1
"1996";"01 StB Altstadt ohne Johannstadt";"Eigentümer Wohnungsgenossenschaft";43
"1996";"01 StB Altstadt ohne Johannstadt";"Eigentümer Stadt";48
"1996";"01 StB Altstadt ohne Johannstadt";"Eigentümer privat";7
"1996";"02 Johannstadt";"Eigennutzung";3
"1996";"02 Johannstadt";"Eigentümer Wohnungsgenossenschaft";49
"1996";"02 Johannstadt";"Eigentümer Stadt";37
"1996";"02 Johannstadt";"Eigentümer privat";11
"1996";"03 StB Neustadt ohne Leipziger Vorstadt";"Eigennutzung";5
"1996";"03 StB Neustadt ohne Leipziger Vorstadt";"Eigentümer Wohnungsgenossenschaft";4
"1996";"03 StB Neustadt ohne Leipziger Vorstadt";"Eigentümer Stadt";37
"1996";"03 StB Neustadt ohne Leipziger Vorstadt";"Eigentümer privat";53
"1996";"04 Leipziger Vorstadt, Pieschen";"Eigennutzung";6
"1996";"04 Leipziger Vorstadt, Pieschen";"Eigentümer Wohnungsgenossenschaft";29
"1996";"04 Leipziger Vorstadt, Pieschen";"Eigentümer Stadt";24
"1996";"04 Leipziger Vorstadt, Pieschen";"Eigentümer privat";41
"1996";"05 Mickten, Kaditz, Trachau";"Eigennutzung";9
"1996";"05 Mickten, Kaditz, Trachau";"Eigentümer Wohnungsgenossenschaft";36
"1996";"05 Mickten, Kaditz, Trachau";"Eigentümer Stadt";17
"1996";"05 Mickten, Kaditz, Trachau";"Eigentümer privat";39
"1996";"06 StB Klotzsche und nördliche OS";"Eigennutzung";33
"1996";"06 StB Klotzsche und nördliche OS";"Eigentümer Wohnungsgenossenschaft";38
"1996";"06 StB Klotzsche und nördliche OS";"Eigentümer Stadt";6
"1996";"06 StB Klotzsche und nördliche OS";"Eigentümer privat";24
"1996";"07 StB Loschwitz und OS Schönfeld-Weißig";"Eigennutzung";47
"1996";"07 StB Loschwitz und OS Schönfeld-Weißig";"Eigentümer Wohnungsgenossenschaft";2
"1996";"07 StB Loschwitz und OS Schönfeld-Weißig";"Eigentümer Stadt";8
"1996";"07 StB Loschwitz und OS Schönfeld-Weißig";"Eigentümer privat";43
"1996";"08 Blasewitz, Striesen";"Eigennutzung";3
"1996";"08 Blasewitz, Striesen";"Eigentümer Wohnungsgenossenschaft";40
"1996";"08 Blasewitz, Striesen";"Eigentümer Stadt";16
"1996";"08 Blasewitz, Striesen";"Eigentümer privat";41
"1996";"09 Tolkewitz, Seidnitz, Gruna";"Eigennutzung";3
"1996";"09 Tolkewitz, Seidnitz, Gruna";"Eigentümer Wohnungsgenossenschaft";42
"1996";"09 Tolkewitz, Seidnitz, Gruna";"Eigentümer Stadt";29
"1996";"09 Tolkewitz, Seidnitz, Gruna";"Eigentümer privat";25
"1996";"10 StB Leuben";"Eigennutzung";14
"1996";"10 StB Leuben";"Eigentümer Wohnungsgenossenschaft";38
"1996";"10 StB Leuben";"Eigentümer Stadt";22
"1996";"10 StB Leuben";"Eigentümer privat";26
"1996";"11 Prohlis, Reick (mit Sternhäuser, Am Koitschgraben)";"Eigennutzung";2
"1996";"11 Prohlis, Reick (mit Sternhäuser, Am Koitschgraben)";"Eigentümer Wohnungsgenossenschaft";41
"1996";"11 Prohlis, Reick (mit Sternhäuser, Am Koitschgraben)";"Eigentümer Stadt";53
"1996";"11 Prohlis, Reick (mit Sternhäuser, Am Koitschgraben)";"Eigentümer privat";4
"1996";"12 Niedersedlitz, Leubnitz, Strehlen (ohne Sternhäuser, Am Koitschgraben)";"Eigennutzung";23
"1996";"12 Niedersedlitz, Leubnitz, Strehlen (ohne Sternhäuser, Am Koitschgraben)";"Eigentümer Wohnungsgenossenschaft";21
"1996";"12 Niedersedlitz, Leubnitz, Strehlen (ohne Sternhäuser, Am Koitschgraben)";"Eigentümer Stadt";10
"1996";"12 Niedersedlitz, Leubnitz, Strehlen (ohne Sternhäuser, Am Koitschgraben)";"Eigentümer privat";45
"1996";"13 Südvorstadt, Zschertnitz";"Eigennutzung";5
"1996";"13 Südvorstadt, Zschertnitz";"Eigentümer Wohnungsgenossenschaft";43
"1996";"13 Südvorstadt, Zschertnitz";"Eigentümer Stadt";38
"1996";"13 Südvorstadt, Zschertnitz";"Eigentümer privat";15
"1996";"14 Mockritz, Coschütz, Plauen";"Eigennutzung";20
"1996";"14 Mockritz, Coschütz, Plauen";"Eigentümer Wohnungsgenossenschaft";32
"1996";"14 Mockritz, Coschütz, Plauen";"Eigentümer Stadt";19
"1996";"14 Mockritz, Coschütz, Plauen";"Eigentümer privat";29
"1996";"15 Cotta, Löbtau, Naußlitz, Dölzschen";"Eigennutzung";10
"1996";"15 Cotta, Löbtau, Naußlitz, Dölzschen";"Eigentümer Wohnungsgenossenschaft";22
"1996";"15 Cotta, Löbtau, Naußlitz, Dölzschen";"Eigentümer Stadt";15
"1996";"15 Cotta, Löbtau, Naußlitz, Dölzschen";"Eigentümer privat";53
"1996";"16 Gorbitz";"Eigennutzung";2
"1996";"16 Gorbitz";"Eigentümer Wohnungsgenossenschaft";73
"1996";"16 Gorbitz";"Eigentümer Stadt";24
"1996";"16 Gorbitz";"Eigentümer privat";1
"1996";"17 Briesnitz und westliche OS";"Eigennutzung";37
"1996";"17 Briesnitz und westliche OS";"Eigentümer Wohnungsgenossenschaft";22
"1996";"17 Briesnitz und westliche OS";"Eigentümer Stadt";6
"1996";"17 Briesnitz und westliche OS";"Eigentümer privat";35
"1996";"18 Dresden gesamt";"Eigennutzung";10
"1996";"18 Dresden gesamt";"Eigentümer Wohnungsgenossenschaft";36
"1996";"18 Dresden gesamt";"Eigentümer Stadt";26
"1996";"18 Dresden gesamt";"Eigentümer privat";28
"1998";"01 StB Altstadt ohne Johannstadt";"Eigennutzung";1
"1998";"01 StB Altstadt ohne Johannstadt";"Eigentümer Wohnungsgenossenschaft";41
"1998";"01 StB Altstadt ohne Johannstadt";"Eigentümer Stadt";42
"1998";"01 StB Altstadt ohne Johannstadt";"Eigentümer privat";17
"1998";"02 Johannstadt";"Eigennutzung";0
"1998";"02 Johannstadt";"Eigentümer Wohnungsgenossenschaft";47
"1998";"02 Johannstadt";"Eigentümer Stadt";38
"1998";"02 Johannstadt";"Eigentümer privat";15
"1998";"03 StB Neustadt ohne Leipziger Vorstadt";"Eigennutzung";6
"1998";"03 StB Neustadt ohne Leipziger Vorstadt";"Eigentümer Wohnungsgenossenschaft";8
"1998";"03 StB Neustadt ohne Leipziger Vorstadt";"Eigentümer Stadt";17
"1998";"03 StB Neustadt ohne Leipziger Vorstadt";"Eigentümer privat";69
"1998";"04 Leipziger Vorstadt, Pieschen";"Eigennutzung";4
"1998";"04 Leipziger Vorstadt, Pieschen";"Eigentümer Wohnungsgenossenschaft";27
"1998";"04 Leipziger Vorstadt, Pieschen";"Eigentümer Stadt";15
"1998";"04 Leipziger Vorstadt, Pieschen";"Eigentümer privat";54
"1998";"05 Mickten, Kaditz, Trachau";"Eigennutzung";13
"1998";"05 Mickten, Kaditz, Trachau";"Eigentümer Wohnungsgenossenschaft";33
"1998";"05 Mickten, Kaditz, Trachau";"Eigentümer Stadt";6
"1998";"05 Mickten, Kaditz, Trachau";"Eigentümer privat";48
"1998";"06 StB Klotzsche und nördliche OS";"Eigennutzung";29
"1998";"06 StB Klotzsche und nördliche OS";"Eigentümer Wohnungsgenossenschaft";32
"1998";"06 StB Klotzsche und nördliche OS";"Eigentümer Stadt";7
"1998";"06 StB Klotzsche und nördliche OS";"Eigentümer privat";33
"1998";"07 StB Loschwitz und OS Schönfeld-Weißig";"Eigennutzung";36
"1998";"07 StB Loschwitz und OS Schönfeld-Weißig";"Eigentümer Wohnungsgenossenschaft";2
"1998";"07 StB Loschwitz und OS Schönfeld-Weißig";"Eigentümer Stadt";4
"1998";"07 StB Loschwitz und OS Schönfeld-Weißig";"Eigentümer privat";59
"1998";"08 Blasewitz, Striesen";"Eigennutzung";5
"1998";"08 Blasewitz, Striesen";"Eigentümer Wohnungsgenossenschaft";25
"1998";"08 Blasewitz, Striesen";"Eigentümer Stadt";13
"1998";"08 Blasewitz, Striesen";"Eigentümer privat";57
