"Jahr";"Stadtraum";"Zeitfenster";"Anteil Benotung ""sehr gut""";"Anteil Benotung ""gut""";"Anteil Benotung ""teils/teils""";"Anteil Benotung ""schlecht""";"Anteil Benotung ""sehr schlecht""";"Anteil Benotung ""nicht beurteilt"""
"1996";"11 Prohlis, Reick (mit Sternhäuser, Am Koitschgraben)";"in einem Jahr";3;12;34;27;5;19
"1996";"12 Niedersedlitz, Leubnitz, Strehlen (ohne Sternhäuser, Am Koitschgraben)";"vor einem Jahr";6;22;61;8;1;3
"1996";"12 Niedersedlitz, Leubnitz, Strehlen (ohne Sternhäuser, Am Koitschgraben)";"heute";6;48;37;5;2;3
"1996";"12 Niedersedlitz, Leubnitz, Strehlen (ohne Sternhäuser, Am Koitschgraben)";"in einem Jahr";0;10;36;26;6;22
"1996";"13 Südvorstadt, Zschertnitz";"vor einem Jahr";3;20;65;7;2;2
"1996";"13 Südvorstadt, Zschertnitz";"heute";5;43;38;10;2;1
"1996";"13 Südvorstadt, Zschertnitz";"in einem Jahr";4;13;38;20;4;22
"1996";"14 Mockritz, Coschütz, Plauen";"vor einem Jahr";5;26;58;8;2;0
"1996";"14 Mockritz, Coschütz, Plauen";"heute";1;49;43;6;1;0
"1996";"14 Mockritz, Coschütz, Plauen";"in einem Jahr";4;14;40;22;1;20
"1996";"15 Cotta, Löbtau, Naußlitz, Dölzschen";"vor einem Jahr";4;22;59;12;3;0
"1996";"15 Cotta, Löbtau, Naußlitz, Dölzschen";"heute";2;43;43;9;3;0
"1996";"15 Cotta, Löbtau, Naußlitz, Dölzschen";"in einem Jahr";1;8;39;23;8;21
"1996";"16 Gorbitz";"vor einem Jahr";7;19;59;12;3;1
"1996";"16 Gorbitz";"heute";4;48;39;9;2;0
"1996";"16 Gorbitz";"in einem Jahr";3;10;43;19;4;20
"1996";"17 Briesnitz und westliche OS";"vor einem Jahr";4;19;63;14;0;0
"1996";"17 Briesnitz und westliche OS";"heute";11;53;29;5;3;0
"1996";"17 Briesnitz und westliche OS";"in einem Jahr";6;13;47;18;3;12
"1996";"18 Dresden gesamt";"vor einem Jahr";5;22;61;10;2;1
"1996";"18 Dresden gesamt";"heute";3;47;39;8;2;1
"1996";"18 Dresden gesamt";"in einem Jahr";2;10;41;21;5;21
"2002";"01 StB Altstadt ohne Johannstadt";"vor einem Jahr";4;20;56;19;1;0
"2002";"01 StB Altstadt ohne Johannstadt";"heute";3;47;37;8;4;2
"2002";"01 StB Altstadt ohne Johannstadt";"in einem Jahr";1;8;49;20;8;14
"2002";"02 Johannstadt";"vor einem Jahr";7;23;55;12;2;2
"2002";"02 Johannstadt";"heute";1;38;46;9;3;3
"2002";"02 Johannstadt";"in einem Jahr";3;7;45;26;4;15
"2002";"03 StB Neustadt ohne Leipziger Vorstadt";"vor einem Jahr";5;27;50;15;2;2
"2002";"03 StB Neustadt ohne Leipziger Vorstadt";"heute";6;43;37;11;2;2
"2002";"03 StB Neustadt ohne Leipziger Vorstadt";"in einem Jahr";4;15;51;12;4;15
"2002";"04 Leipziger Vorstadt, Pieschen";"vor einem Jahr";3;20;53;19;6;0
"2002";"04 Leipziger Vorstadt, Pieschen";"heute";2;43;41;10;5;0
"2002";"04 Leipziger Vorstadt, Pieschen";"in einem Jahr";3;18;43;17;4;14
"2002";"05 Mickten, Kaditz, Trachau";"vor einem Jahr";3;20;57;14;4;2
"2002";"05 Mickten, Kaditz, Trachau";"heute";2;55;26;13;4;1
"2002";"05 Mickten, Kaditz, Trachau";"in einem Jahr";2;13;48;16;6;15
"2002";"06 StB Klotzsche und nördliche OS";"vor einem Jahr";6;29;49;14;1;1
"2002";"06 StB Klotzsche und nördliche OS";"heute";5;47;39;5;2;2
"2002";"06 StB Klotzsche und nördliche OS";"in einem Jahr";2;10;44;22;4;17
"2002";"07 StB Loschwitz und OS Schönfeld-Weißig";"vor einem Jahr";4;22;58;12;4;1
"2002";"07 StB Loschwitz und OS Schönfeld-Weißig";"heute";4;53;32;6;5;1
"2002";"07 StB Loschwitz und OS Schönfeld-Weißig";"in einem Jahr";2;12;44;21;5;18
"2002";"08 Blasewitz, Striesen";"vor einem Jahr";4;22;56;14;2;1
"2002";"08 Blasewitz, Striesen";"heute";5;55;29;8;2;1
"2002";"08 Blasewitz, Striesen";"in einem Jahr";3;9;53;17;4;15
