"Jahr";"Stadtraum";"Zeitfenster";"Anteil Benotung ""sehr gut""";"Anteil Benotung ""gut""";"Anteil Benotung ""teils/teils""";"Anteil Benotung ""schlecht""";"Anteil Benotung ""sehr schlecht""";"Anteil Benotung ""nicht beurteilt"""
"2012";"12 Niedersedlitz, Leubnitz, Strehlen (ohne Sternhäuser, Am Koitschgraben)";"vor einem Jahr";1;18;65;13;0;2
"2012";"12 Niedersedlitz, Leubnitz, Strehlen (ohne Sternhäuser, Am Koitschgraben)";"heute";4;56;28;9;2;2
"2012";"12 Niedersedlitz, Leubnitz, Strehlen (ohne Sternhäuser, Am Koitschgraben)";"in einem Jahr";3;10;53;20;1;14
"2012";"13 Südvorstadt, Zschertnitz";"vor einem Jahr";2;12;72;9;2;3
"2012";"13 Südvorstadt, Zschertnitz";"heute";5;49;32;9;3;3
"2012";"13 Südvorstadt, Zschertnitz";"in einem Jahr";4;9;64;9;4;11
"2012";"14 Mockritz, Coschütz, Plauen";"vor einem Jahr";6;12;70;10;0;3
"2012";"14 Mockritz, Coschütz, Plauen";"heute";8;55;25;10;0;3
"2012";"14 Mockritz, Coschütz, Plauen";"in einem Jahr";2;11;64;10;1;12
"2012";"15 Cotta, Löbtau, Naußlitz, Dölzschen";"vor einem Jahr";4;17;64;9;4;3
"2012";"15 Cotta, Löbtau, Naußlitz, Dölzschen";"heute";3;44;32;16;3;2
"2012";"15 Cotta, Löbtau, Naußlitz, Dölzschen";"in einem Jahr";4;19;52;13;1;11
"2012";"16 Gorbitz";"vor einem Jahr";3;18;64;9;2;4
"2012";"16 Gorbitz";"heute";1;31;42;14;10;2
"2012";"16 Gorbitz";"in einem Jahr";1;10;51;20;6;12
"2012";"17 Briesnitz und westliche OS";"vor einem Jahr";5;5;75;7;3;5
"2012";"17 Briesnitz und westliche OS";"heute";8;53;21;11;2;5
"2012";"17 Briesnitz und westliche OS";"in einem Jahr";0;11;53;17;1;19
"2012";"18 Dresden gesamt";"vor einem Jahr";4;15;67;11;2;2
"2012";"18 Dresden gesamt";"heute";6;47;33;10;3;2
"2012";"18 Dresden gesamt";"in einem Jahr";2;12;56;14;3;12
"2014";"01 StB Altstadt ohne Johannstadt";"vor einem Jahr";1;24;61;13;1;1
"2014";"01 StB Altstadt ohne Johannstadt";"heute";7;45;33;11;4;0
"2014";"01 StB Altstadt ohne Johannstadt";"in einem Jahr";3;19;57;10;1;11
"2014";"02 Johannstadt";"vor einem Jahr";2;16;71;8;3;0
"2014";"02 Johannstadt";"heute";8;50;31;11;0;1
"2014";"02 Johannstadt";"in einem Jahr";4;10;66;12;2;6
"2014";"03 StB Neustadt ohne Leipziger Vorstadt";"vor einem Jahr";5;20;63;12;1;0
"2014";"03 StB Neustadt ohne Leipziger Vorstadt";"heute";13;47;30;8;2;0
"2014";"03 StB Neustadt ohne Leipziger Vorstadt";"in einem Jahr";3;16;59;12;1;9
"2014";"04 Leipziger Vorstadt, Pieschen";"vor einem Jahr";7;12;62;14;2;2
"2014";"04 Leipziger Vorstadt, Pieschen";"heute";8;44;32;13;2;1
"2014";"04 Leipziger Vorstadt, Pieschen";"in einem Jahr";4;22;51;11;1;12
"2014";"05 Mickten, Kaditz, Trachau";"vor einem Jahr";2;11;71;12;4;0
"2014";"05 Mickten, Kaditz, Trachau";"heute";5;51;28;16;1;0
"2014";"05 Mickten, Kaditz, Trachau";"in einem Jahr";1;8;64;11;1;15
"2014";"06 StB Klotzsche und nördliche OS";"vor einem Jahr";2;11;68;16;1;3
"2014";"06 StB Klotzsche und nördliche OS";"heute";11;49;31;6;2;2
"2014";"06 StB Klotzsche und nördliche OS";"in einem Jahr";3;15;60;10;1;12
"2014";"07 StB Loschwitz und OS Schönfeld-Weißig";"vor einem Jahr";2;15;69;13;1;0
"2014";"07 StB Loschwitz und OS Schönfeld-Weißig";"heute";9;54;30;6;1;0
"2014";"07 StB Loschwitz und OS Schönfeld-Weißig";"in einem Jahr";2;15;63;12;3;5
"2014";"08 Blasewitz, Striesen";"vor einem Jahr";3;13;66;13;4;2
"2014";"08 Blasewitz, Striesen";"heute";10;55;28;5;1;1
"2014";"08 Blasewitz, Striesen";"in einem Jahr";3;14;67;6;1;9
"2014";"09 Tolkewitz, Seidnitz, Gruna";"vor einem Jahr";4;15;69;11;1;1
"2014";"09 Tolkewitz, Seidnitz, Gruna";"heute";7;51;33;8;1;1
"2014";"09 Tolkewitz, Seidnitz, Gruna";"in einem Jahr";3;11;61;12;1;11
"2014";"10 StB Leuben";"vor einem Jahr";2;13;64;14;4;3
"2014";"10 StB Leuben";"heute";6;52;27;9;5;2
"2014";"10 StB Leuben";"in einem Jahr";2;12;59;15;2;11
"2014";"11 Prohlis, Reick (mit Sternhäuser, Am Koitschgraben)";"vor einem Jahr";2;17;70;5;1;3
"2014";"11 Prohlis, Reick (mit Sternhäuser, Am Koitschgraben)";"heute";3;36;38;13;9;1
"2014";"11 Prohlis, Reick (mit Sternhäuser, Am Koitschgraben)";"in einem Jahr";2;9;56;19;4;11
"2014";"12 Niedersedlitz, Leubnitz, Strehlen (ohne Sternhäuser, Am Koitschgraben)";"vor einem Jahr";5;12;72;7;1;3
"2014";"12 Niedersedlitz, Leubnitz, Strehlen (ohne Sternhäuser, Am Koitschgraben)";"heute";10;54;23;9;2;2
"2014";"12 Niedersedlitz, Leubnitz, Strehlen (ohne Sternhäuser, Am Koitschgraben)";"in einem Jahr";4;10;60;18;3;7
"2014";"13 Südvorstadt, Zschertnitz";"vor einem Jahr";4;18;61;13;2;2
"2014";"13 Südvorstadt, Zschertnitz";"heute";7;52;25;13;2;2
"2014";"13 Südvorstadt, Zschertnitz";"in einem Jahr";6;16;57;8;2;12
"2014";"14 Mockritz, Coschütz, Plauen";"vor einem Jahr";2;17;68;9;3;2
"2014";"14 Mockritz, Coschütz, Plauen";"heute";12;63;17;5;2;2
"2014";"14 Mockritz, Coschütz, Plauen";"in einem Jahr";0;10;72;3;2;13
"2014";"15 Cotta, Löbtau, Naußlitz, Dölzschen";"vor einem Jahr";2;20;63;13;0;3
"2014";"15 Cotta, Löbtau, Naußlitz, Dölzschen";"heute";7;48;32;10;1;3
"2014";"15 Cotta, Löbtau, Naußlitz, Dölzschen";"in einem Jahr";2;18;57;9;2;11
"2014";"16 Gorbitz";"vor einem Jahr";1;23;53;15;5;2
"2014";"16 Gorbitz";"heute";0;39;39;16;6;0
"2014";"16 Gorbitz";"in einem Jahr";2;16;50;14;4;14
"2014";"17 Briesnitz und westliche OS";"vor einem Jahr";2;22;62;9;0;5
"2014";"17 Briesnitz und westliche OS";"heute";12;45;34;6;0;3
"2014";"17 Briesnitz und westliche OS";"in einem Jahr";0;21;56;10;2;11
"2014";"18 Dresden gesamt";"vor einem Jahr";3;16;65;12;2;2
"2014";"18 Dresden gesamt";"heute";8;49;30;10;2;1
"2014";"18 Dresden gesamt";"in einem Jahr";3;15;59;11;2;10
"2016";"01 StB Altstadt ohne Johannstadt";"vor einem Jahr";4;15;65;9;3;5
"2016";"01 StB Altstadt ohne Johannstadt";"heute";9;45;29;6;8;3
"2016";"01 StB Altstadt ohne Johannstadt";"in einem Jahr";5;8;63;6;2;16
"2016";"02 Johannstadt";"vor einem Jahr";5;14;65;13;0;2
"2016";"02 Johannstadt";"heute";4;49;31;12;2;2
"2016";"02 Johannstadt";"in einem Jahr";2;9;50;15;4;20
"2016";"03 StB Neustadt ohne Leipziger Vorstadt";"vor einem Jahr";7;18;62;9;3;2
"2016";"03 StB Neustadt ohne Leipziger Vorstadt";"heute";15;57;18;5;2;3
"2016";"03 StB Neustadt ohne Leipziger Vorstadt";"in einem Jahr";6;19;50;8;2;15
"2016";"04 Leipziger Vorstadt, Pieschen";"vor einem Jahr";4;18;61;13;1;3
"2016";"04 Leipziger Vorstadt, Pieschen";"heute";13;53;26;6;2;1
"2016";"04 Leipziger Vorstadt, Pieschen";"in einem Jahr";3;15;52;10;1;19
"2016";"05 Mickten, Kaditz, Trachau";"vor einem Jahr";0;15;73;11;2;0
"2016";"05 Mickten, Kaditz, Trachau";"heute";9;51;27;11;3;0
"2016";"05 Mickten, Kaditz, Trachau";"in einem Jahr";2;7;66;10;3;12
"2016";"06 StB Klotzsche und nördliche OS";"vor einem Jahr";2;9;79;6;2;3
"2016";"06 StB Klotzsche und nördliche OS";"heute";12;58;24;1;3;3
"2016";"06 StB Klotzsche und nördliche OS";"in einem Jahr";1;6;64;11;4;15
"2016";"07 StB Loschwitz und OS Schönfeld-Weißig";"vor einem Jahr";1;10;80;6;1;2
"2016";"07 StB Loschwitz und OS Schönfeld-Weißig";"heute";15;60;19;5;0;2
"2016";"07 StB Loschwitz und OS Schönfeld-Weißig";"in einem Jahr";4;8;69;6;1;12
"2016";"08 Blasewitz, Striesen";"vor einem Jahr";4;11;73;9;1;2
"2016";"08 Blasewitz, Striesen";"heute";13;53;27;5;0;2
"2016";"08 Blasewitz, Striesen";"in einem Jahr";1;13;63;10;1;12
"2016";"09 Tolkewitz, Seidnitz, Gruna";"vor einem Jahr";5;14;72;7;1;2
"2016";"09 Tolkewitz, Seidnitz, Gruna";"heute";5;53;34;5;2;2
"2016";"09 Tolkewitz, Seidnitz, Gruna";"in einem Jahr";4;7;57;13;2;17
"2016";"10 StB Leuben";"vor einem Jahr";1;11;77;7;3;2
"2016";"10 StB Leuben";"heute";6;58;27;6;2;2
"2016";"10 StB Leuben";"in einem Jahr";1;13;55;12;0;19
"2016";"11 Prohlis, Reick (mit Sternhäuser, Am Koitschgraben)";"vor einem Jahr";4;9;80;3;1;4
"2016";"11 Prohlis, Reick (mit Sternhäuser, Am Koitschgraben)";"heute";3;46;32;11;5;2
"2016";"11 Prohlis, Reick (mit Sternhäuser, Am Koitschgraben)";"in einem Jahr";1;11;49;11;1;27
"2016";"12 Niedersedlitz, Leubnitz, Strehlen (ohne Sternhäuser, Am Koitschgraben)";"vor einem Jahr";2;15;69;8;3;4
"2016";"12 Niedersedlitz, Leubnitz, Strehlen (ohne Sternhäuser, Am Koitschgraben)";"heute";8;57;27;4;3;3
"2016";"12 Niedersedlitz, Leubnitz, Strehlen (ohne Sternhäuser, Am Koitschgraben)";"in einem Jahr";1;12;56;13;2;17
"2016";"13 Südvorstadt, Zschertnitz";"vor einem Jahr";4;11;69;12;2;1
"2016";"13 Südvorstadt, Zschertnitz";"heute";10;54;31;4;1;1
"2016";"13 Südvorstadt, Zschertnitz";"in einem Jahr";2;14;62;9;2;12
"2016";"14 Mockritz, Coschütz, Plauen";"vor einem Jahr";1;17;69;10;3;1
"2016";"14 Mockritz, Coschütz, Plauen";"heute";10;63;25;2;1;0
"2016";"14 Mockritz, Coschütz, Plauen";"in einem Jahr";2;9;57;8;2;23
"2016";"15 Cotta, Löbtau, Naußlitz, Dölzschen";"vor einem Jahr";4;14;65;15;2;2
"2016";"15 Cotta, Löbtau, Naußlitz, Dölzschen";"heute";12;57;21;6;2;2
"2016";"15 Cotta, Löbtau, Naußlitz, Dölzschen";"in einem Jahr";3;18;57;10;0;13
"2016";"16 Gorbitz";"vor einem Jahr";4;10;75;12;0;0
"2016";"16 Gorbitz";"heute";5;34;39;15;6;2
"2016";"16 Gorbitz";"in einem Jahr";4;6;48;9;7;26
"2016";"17 Briesnitz und westliche OS";"vor einem Jahr";3;15;74;4;0;3
"2016";"17 Briesnitz und westliche OS";"heute";9;59;24;3;2;3
"2016";"17 Briesnitz und westliche OS";"in einem Jahr";1;13;54;13;0;19
"2016";"18 Dresden gesamt";"vor einem Jahr";3;14;70;9;2;2
"2016";"18 Dresden gesamt";"heute";10;54;27;6;2;2
"2016";"18 Dresden gesamt";"in einem Jahr";3;12;57;10;2;17
"2018";"01 StB Altstadt ohne Johannstadt";"in einem Jahr";8;3;52;7;3;27
"2018";"02 Johannstadt";"in einem Jahr";1;15;61;5;0;18
"2018";"03 StB Neustadt ohne Leipziger Vorstadt";"in einem Jahr";5;14;55;10;1;16
"2018";"04 Leipziger Vorstadt, Pieschen";"in einem Jahr";3;23;45;10;4;14
"2018";"05 Mickten, Kaditz, Trachau";"in einem Jahr";2;17;57;12;2;11
"2018";"06 StB Klotzsche und nördliche OS";"in einem Jahr";3;7;66;8;2;15
"2018";"07 StB Loschwitz und OS Schönfeld-Weißig";"in einem Jahr";2;11;66;5;2;14
"2018";"08 Blasewitz, Striesen";"in einem Jahr";3;13;58;10;1;16
"2018";"09 Tolkewitz, Seidnitz, Gruna";"in einem Jahr";4;11;56;8;3;18
"2018";"10 StB Leuben";"in einem Jahr";0;11;67;5;1;16
"2018";"11 Prohlis, Reick (mit Sternhäuser, Am Koitschgraben)";"in einem Jahr";1;16;57;4;5;17
"2018";"12 Niedersedlitz, Leubnitz, Strehlen (ohne Sternhäuser, Am Koitschgraben)";"in einem Jahr";1;10;58;8;1;22
"2018";"13 Südvorstadt, Zschertnitz";"in einem Jahr";1;19;49;12;2;17
"2018";"14 Mockritz, Coschütz, Plauen";"in einem Jahr";4;21;53;1;2;19
"2018";"15 Cotta, Löbtau, Naußlitz, Dölzschen";"in einem Jahr";2;11;54;11;0;22
"2018";"16 Gorbitz";"in einem Jahr";0;11;62;9;0;18
"2018";"17 Briesnitz und westliche OS";"in einem Jahr";1;11;64;6;0;17
"2018";"18 Dresden gesamt";"in einem Jahr";3;13;57;8;2;18
