"Jahr";"Wirtschaftszweig 2-Steller";"Anzahl Betriebe";"Tätige Personen";"Entgelte (in 1000 EUR)";"Entgelte je tätiger Person";"Gesamtumsatz (in 1000 EUR)";"Absoluter Anteil des Umsatzes im Ausland am Gesamtumsatz (in 1000 EUR)";"Gesamtumsatz je tätiger Person";"Exportquote (in Prozent)"
"2017";"Kokerei,Mineralölverarb.,Herst.u.Verarb.v.Spalt-u.Brutstoff. 23";10;247;10176;41198;78299;0;317000;0
"2017";"Herstellung von Gummi- und Kunststoffwaren 25";24;1599;45007;28147;194927;17223;121906;9
"2017";"Glasgewerbe, Keramik, Verarbeitung von Steinen und Erden 26";35;8697;457402;52593;2921888;1874488;335965;64
"2017";"Metallerzeugung und -bearbeitung";19;1862;77725;41743;309186;130193;166050;42
"2017";"Herstellung von Metallerzeugnissen";30;4524;200362;44289;728360;454143;160999;62
"2017";"Maschinenbau 29";3;0;0;0;0;0;0;0
"2017";"Herst.v.Büromasch.,Datenverarbeitungsgeräten u.-einrichtgen.";3;0;0;0;0;0;0;0
"2017";"Herstellung v.Geräten der Elektrizitätserzeugung, -verteilg.";1;0;0;0;0;0;0;0
"2017";"Rundfunk-, Fernseh- und Nachrichtentechnik";15;901;23245;25799;64551;0;71644;0
"2017";"Medizin-, Meß-, Steuer- und Regelungstechnik, Optik";32;1770;80862;45685;279565;53769;157946;19
"2018";"Verarbeitendes Gewerbe gesamt";243;28828;1287660;44667;6949843;3530203;241080;51
"2018";"Kohlenbergbau, Torfgewinnung";28;1138;28797;25305;183464;22273;161216;12
"2018";"Gewinnung v.Erdöl u.Erbringung damit verbund.Dienstleistgen.";1;0;0;0;0;0;0;0
"2018";"Bergbau auf Uran- und Thoriumerze";1;0;0;0;0;0;0;0
"2018";"Erzbergbau";2;0;0;0;0;0;0;0
"2018";"Tabakverarbeitung";2;0;0;0;0;0;0;0
"2018";"Textilgewerbe";1;0;0;0;0;0;0;0
"2018";"Bekleidungsgewerbe";15;1792;57987;32359;217198;0;121204;0
"2018";"Holzgewerbe (ohne Herstellung von Möbeln) 20";7;424;15943;37601;135762;34303;320193;25
"2018";"Papiergewerbe";6;1660;88464;53292;361667;0;217872;0
"2018";"Verlags-,Druckgew.,Vervielfält.v.besp.Ton-,Bild-u.Datenträg.";9;508;15129;29781;78164;32885;153866;42
"2018";"Kokerei,Mineralölverarb.,Herst.u.Verarb.v.Spalt-u.Brutstoff. 23";10;258;10704;41488;72490;0;280969;0
"2018";"Herstellung von Gummi- und Kunststoffwaren 25";23;1415;41650;29435;155418;16076;109836;10
"2018";"Glasgewerbe, Keramik, Verarbeitung von Steinen und Erden 26";36;9158;474333;51794;2792677;1773706;304944;64
"2018";"Metallerzeugung und -bearbeitung";18;1926;81323;42224;299391;113110;155447;38
"2018";"Herstellung von Metallerzeugnissen";30;4700;211623;45026;869983;565208;185103;65
"2018";"Maschinenbau 29";3;0;0;0;0;0;0;0
"2018";"Herst.v.Büromasch.,Datenverarbeitungsgeräten u.-einrichtgen.";3;0;0;0;0;0;0;0
"2018";"Herstellung v.Geräten der Elektrizitätserzeugung, -verteilg.";1;0;0;0;0;0;0;0
"2018";"Rundfunk-, Fernseh- und Nachrichtentechnik";15;924;24339;26341;70772;0;76593;0
"2018";"Medizin-, Meß-, Steuer- und Regelungstechnik, Optik";32;1809;85843;47453;312859;50849;172946;16
