Statistischer Bezirk;Bodenrichtwerte (cls:L303);Bodenrichtwerte (cls:L483);Bodenrichtwertzonen 2015 - Beschriftung (cls:L580);Bodenleitwerte (cls:L295);Bodenrichtwerte (cls:L318);Bodenrichtwerte (cls:L308);Bodenrichtwerte (cls:L322);Bodenrichtwerte (cls:L311);Bodenrichtwerte (cls:L331);Bodenrichtwerte (cls:L312);Bodenrichtwerte (cls:L326);Bodenrichtwerte (cls:L335);Bodenrichtwerte (cls:L315);Bodenrichtwerte (cls:L329);Bodenrichtwerte (cls:L337);Bodenrichtwertzonen 2011 - Beschriftung (cls:L588);Bodenrichtwertzonen 2013 - Beschriftung (cls:L589);Bodenrichtwerte (cls:L298);Bodenrichtwerte (cls:L301);Bodenrichtwertzonen 2017 - Beschriftung (cls:L682);Bodenrichtwertzonen 2019 - Beschriftung (cls:L1079);Baukultur in Dresden (cls:L1090)
824;2;2;6;0;2;2;2;2;2;2;2;2;4;2;2;8;4;0;0;4;4;2
352;0;4;9;0;0;0;2;0;2;0;2;2;0;2;4;6;6;0;0;6;6;0
753;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;2;2;0;0;2;2;0
816;0;0;0;0;2;0;2;0;2;0;2;0;2;0;0;0;0;0;0;0;0;0
078;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0
316;8;14;15;0;10;12;10;12;10;10;10;10;10;10;14;10;10;2;6;10;10;2
767;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;2;2;0
911;4;8;12;2;4;6;6;6;8;4;6;6;4;8;8;8;8;0;4;8;8;1
523;2;0;0;0;0;2;0;2;0;2;0;0;0;2;0;0;0;0;0;0;0;0
965;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
556;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;2;2;0;0;0;0;0
053;6;0;0;0;2;4;2;4;2;2;2;0;2;2;0;0;0;0;4;0;0;3
905;0;2;9;0;2;0;2;0;2;0;0;0;0;2;2;6;6;0;0;6;6;0
836;2;2;6;0;2;2;2;2;2;2;2;2;0;2;2;6;4;0;0;4;4;0
324;4;8;18;0;6;2;6;2;6;2;6;6;4;6;8;12;14;2;4;12;12;1
073;2;2;3;0;2;2;2;2;2;2;4;2;2;2;2;2;2;2;2;2;2;0
067;2;0;3;0;0;2;0;0;0;0;2;0;0;0;0;2;2;0;2;2;2;0
355;0;4;12;0;0;0;2;0;4;0;2;4;0;4;4;6;8;0;0;8;8;0
617;0;2;3;0;0;0;0;0;0;0;0;0;0;0;2;2;2;0;0;2;2;0
464;0;6;6;0;0;0;4;0;4;0;4;4;0;4;6;4;4;0;0;4;4;0
576;4;2;9;2;2;4;2;2;2;2;2;2;2;2;2;4;6;0;0;6;6;0
311;4;8;15;0;4;4;4;4;6;4;4;10;4;4;8;12;10;0;4;12;12;0
833;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
902;0;10;24;0;6;0;6;0;6;0;8;8;8;6;10;16;16;0;0;14;14;0
321;6;16;12;0;10;12;10;12;12;12;10;12;12;12;16;8;8;4;6;8;10;1
538;0;4;12;0;0;0;2;2;2;0;0;4;0;2;4;8;8;2;0;8;8;0
925;2;0;3;2;2;4;4;2;2;4;2;0;4;2;0;2;2;2;2;2;2;0
472;0;6;6;0;0;0;4;0;4;0;4;4;0;4;6;4;4;0;0;4;4;0
736;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
141;4;2;9;2;4;4;4;6;2;6;2;2;6;2;2;6;6;4;0;6;6;0
867;0;2;3;0;0;0;0;2;0;0;0;0;0;0;2;2;2;0;0;4;4;0
995;0;2;3;0;0;0;2;0;2;0;2;2;0;2;2;2;2;0;0;2;2;0
951;2;0;0;0;0;2;0;2;0;2;0;0;0;0;0;0;0;0;2;0;0;0
915;2;2;6;0;2;2;2;2;2;2;2;2;4;2;2;6;4;4;4;4;4;0
