Statistischer Bezirk;Bodenrichtwerte (cls:L303);Bodenrichtwerte (cls:L483);Bodenrichtwertzonen 2015 - Beschriftung (cls:L580);Bodenleitwerte (cls:L295);Bodenrichtwerte (cls:L318);Bodenrichtwerte (cls:L308);Bodenrichtwerte (cls:L322);Bodenrichtwerte (cls:L311);Bodenrichtwerte (cls:L331);Bodenrichtwerte (cls:L312);Bodenrichtwerte (cls:L326);Bodenrichtwerte (cls:L335);Bodenrichtwerte (cls:L315);Bodenrichtwerte (cls:L329);Bodenrichtwerte (cls:L337);Bodenrichtwertzonen 2011 - Beschriftung (cls:L588);Bodenrichtwertzonen 2013 - Beschriftung (cls:L589);Bodenrichtwerte (cls:L298);Bodenrichtwerte (cls:L301);Bodenrichtwertzonen 2017 - Beschriftung (cls:L682);Bodenrichtwertzonen 2019 - Beschriftung (cls:L1079);Baukultur in Dresden (cls:L1090)
978;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
511;6;2;3;0;2;6;2;6;2;2;4;2;2;2;2;2;2;2;4;2;2;1
721;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
414;4;10;9;4;6;6;6;6;8;6;8;8;6;8;12;6;6;2;2;6;6;0
524;2;2;0;2;0;0;2;0;2;2;2;2;2;2;2;0;0;2;2;0;0;0
114;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
726;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
342;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;2;2;0;0;2;2;0
572;4;2;3;0;4;2;2;2;2;2;4;2;2;2;2;2;2;0;2;2;0;0
563;2;2;6;0;2;4;2;4;2;2;2;2;2;2;2;4;4;0;0;4;4;0
428;4;8;9;2;4;4;4;4;4;6;4;8;4;4;8;6;6;2;4;6;6;0
233;2;12;27;0;4;6;4;6;4;4;4;6;4;4;12;20;20;4;4;18;18;0
975;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;2;2;0;0;2;2;0
123;2;10;27;2;4;4;6;4;10;4;8;10;4;8;10;18;18;2;2;18;18;1
972;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
421;4;8;15;2;8;6;8;6;8;8;10;8;8;8;8;8;8;4;4;8;8;0
533;4;0;3;0;2;2;2;2;0;0;2;0;0;0;0;2;2;0;2;2;2;0
151;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
115;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
973;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
723;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
422;2;4;6;2;2;2;4;4;6;4;4;6;2;6;4;4;4;0;2;6;6;0
041;8;6;9;12;4;8;4;6;4;4;4;4;4;4;4;6;6;10;8;6;6;2
958;4;4;12;0;2;4;6;4;6;4;6;4;4;6;4;8;8;2;4;6;6;0
252;4;2;6;0;2;12;4;6;2;2;2;2;4;4;2;6;4;2;2;4;4;0
944;2;8;9;0;4;2;4;4;4;4;4;8;4;4;8;8;6;0;2;6;6;0
722;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
525;0;0;3;0;2;2;0;2;0;0;0;0;0;0;0;2;2;0;0;2;2;0
612;2;6;6;0;2;4;2;4;4;4;2;4;6;2;6;4;4;0;2;4;4;0
642;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0
513;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
561;2;4;12;2;4;2;4;4;4;4;4;4;4;4;4;8;8;2;2;8;8;0
571;4;4;3;0;2;2;2;4;2;4;2;4;4;2;4;2;2;2;0;2;2;0
121;2;4;3;0;4;6;4;2;4;2;4;4;4;4;4;2;2;2;0;4;2;0
431;2;2;6;2;2;4;2;2;2;2;2;2;2;2;2;4;4;2;2;4;4;1
253;0;2;6;0;0;0;2;0;2;0;2;2;0;2;2;2;4;0;0;4;4;0
945;4;10;42;2;8;4;8;8;14;8;10;12;10;12;10;30;28;2;4;28;28;1
544;2;2;3;0;2;0;2;0;0;2;2;2;2;0;2;2;2;2;0;2;2;0
069;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
613;0;2;6;0;0;0;0;0;0;0;0;0;0;0;2;4;4;0;2;4;4;0
641;2;2;12;0;2;2;2;2;2;2;2;2;2;2;2;8;8;0;0;8;8;0
724;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
971;0;0;6;0;2;0;2;0;0;0;2;0;2;0;0;4;4;0;0;4;4;0
532;0;0;6;2;0;0;0;0;0;0;0;0;2;0;0;4;4;2;2;2;2;0
043;2;2;3;2;0;2;0;2;0;0;0;2;0;2;2;2;2;4;2;2;0;1
946;6;12;21;0;6;6;6;8;6;8;6;8;6;6;10;22;14;4;4;16;16;0
153;0;0;6;0;0;0;0;2;0;2;0;0;0;0;0;4;4;0;0;2;4;0
068;2;4;3;0;6;6;4;6;4;6;2;4;6;4;4;2;2;0;0;2;2;0
341;0;0;6;0;0;0;0;0;0;0;0;0;0;0;0;4;4;0;0;4;4;0
512;10;8;15;2;6;6;6;6;8;8;6;8;6;8;8;10;10;4;6;10;10;2
117;0;2;3;0;2;2;2;2;2;2;2;2;2;2;2;2;2;0;0;2;2;0
152;2;4;18;2;2;2;2;4;2;2;2;4;2;4;4;12;14;2;2;8;8;2
515;6;4;9;2;2;4;4;4;4;4;4;4;4;4;4;6;6;2;2;6;6;2
116;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
518;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
531;0;2;3;0;4;2;2;2;2;4;2;2;4;2;2;2;2;2;0;2;2;0
042;0;0;3;2;2;0;2;2;2;2;2;0;2;0;0;2;2;2;0;2;2;3
427;4;10;9;0;4;6;6;8;6;4;4;10;4;4;10;6;6;2;2;6;6;0
631;4;8;12;0;6;8;6;6;8;6;6;8;6;8;8;8;8;2;2;10;10;0
234;2;2;3;0;2;4;2;2;2;2;2;2;2;2;2;2;2;0;0;2;2;0
025;0;0;3;4;0;0;0;0;0;0;0;0;0;0;0;2;2;4;0;2;2;0
434;2;4;9;0;4;4;4;4;4;4;4;4;4;4;4;6;6;2;2;6;6;0
977;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;2;2;0;0;2;2;0
011;8;16;21;14;8;8;8;8;8;8;8;8;8;8;16;20;16;16;10;14;14;5
426;2;4;6;2;4;4;2;4;4;4;4;4;4;6;4;4;4;2;2;2;2;0
045;0;0;3;2;0;0;0;0;0;0;0;0;0;0;0;2;2;2;0;2;4;0
632;2;4;3;2;2;2;4;2;4;2;6;4;2;4;4;2;2;2;2;2;2;0
435;2;2;3;0;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;0
954;2;2;0;0;0;2;0;2;2;2;0;2;2;2;2;0;0;0;2;0;0;0
453;0;2;9;0;0;0;2;0;2;0;2;2;0;2;2;4;6;0;0;6;6;0
012;4;8;18;4;4;4;4;4;4;4;4;4;4;2;6;12;12;8;4;12;12;0
411;4;8;3;2;4;4;2;4;2;2;2;4;4;4;8;2;2;2;2;2;2;1
066;2;2;3;0;2;2;2;4;2;4;0;2;2;2;2;2;2;0;2;2;2;0
976;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
551;4;6;9;0;2;2;4;2;4;2;6;4;2;4;6;6;6;0;2;6;6;0
354;0;10;27;0;0;0;8;0;10;0;8;10;0;8;10;20;18;0;0;18;18;0
566;4;4;9;0;2;4;4;2;4;4;4;4;4;4;4;6;6;2;4;6;6;0
838;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
425;4;10;18;2;6;8;6;8;6;6;6;10;6;6;10;12;12;4;4;12;12;0
537;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;2;2;0;0;2;2;0
044;0;0;3;0;0;0;0;0;0;0;0;0;0;2;0;4;2;0;0;2;0;0
463;0;4;12;0;0;0;4;0;2;0;2;4;0;2;4;12;12;0;0;10;10;0
575;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
521;0;2;0;2;2;2;2;2;2;2;2;2;4;2;2;0;0;0;2;0;0;0
957;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0
903;0;8;15;0;6;0;8;0;8;0;8;6;8;8;8;10;10;0;0;8;10;0
741;4;8;12;0;2;4;2;2;6;2;2;6;2;4;8;8;8;2;2;8;8;0
941;2;0;3;0;0;0;0;2;0;0;0;0;0;0;0;4;2;2;2;2;2;0
713;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
322;8;12;21;2;8;10;8;12;6;10;6;6;10;6;10;16;16;2;6;14;14;0
075;0;2;0;0;2;2;2;2;2;2;2;2;2;2;2;2;0;0;0;0;0;0
618;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
727;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
024;2;0;0;0;2;0;2;2;0;2;2;0;2;2;0;0;0;0;2;0;0;1
536;0;0;9;0;0;0;0;0;0;0;0;0;0;0;0;4;4;0;0;6;4;0
633;4;12;15;2;10;8;10;8;10;8;8;10;8;10;10;10;10;2;2;10;10;0
031;6;10;24;8;6;6;6;6;6;4;6;6;4;6;10;16;18;8;8;16;16;0
567;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;4;2;0;0;2;4;0
839;2;2;3;0;2;2;2;2;2;2;2;2;2;2;2;2;2;0;2;2;2;0
526;0;2;0;0;2;2;2;2;2;2;2;2;2;2;2;0;0;0;2;0;0;0
424;4;8;9;2;4;6;6;4;4;6;4;4;4;4;8;6;6;4;4;6;6;1
047;2;2;0;2;2;2;2;2;2;2;2;2;2;2;2;2;0;0;2;0;0;0
913;2;2;3;0;2;2;2;2;2;2;2;2;2;2;2;2;2;0;2;2;2;0
412;4;10;24;4;10;10;10;8;8;10;8;6;10;6;6;8;10;10;8;18;18;1
065;2;0;0;0;0;2;0;2;0;2;0;0;2;0;0;0;0;2;0;0;0;0
249;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;2;2;0
432;4;6;6;2;6;8;6;6;6;4;6;6;6;6;6;4;4;4;2;4;4;0
574;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
831;2;6;12;0;4;2;4;2;4;2;4;4;2;4;6;8;8;2;2;8;8;1
942;2;4;6;0;4;0;2;0;2;0;4;2;0;2;2;6;6;2;0;4;2;0
462;0;8;9;0;0;0;6;0;8;0;8;8;0;8;8;6;6;0;0;4;4;0
323;8;6;12;0;6;10;6;10;6;8;6;6;8;6;6;12;8;4;6;8;8;0
956;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
619;0;2;6;0;0;0;0;0;0;0;0;2;0;0;2;4;4;0;0;4;4;0
728;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
023;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;2;2;0;0;2;2;0
553;0;2;3;0;2;0;2;0;2;2;2;2;2;2;2;2;2;2;0;2;2;0
634;6;8;15;0;4;6;4;8;4;8;4;6;4;4;8;10;10;2;4;12;12;0
564;6;12;15;0;6;6;8;6;8;6;8;10;8;8;12;8;8;2;4;10;10;0
974;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
535;0;0;0;0;2;0;2;0;2;2;2;0;2;2;0;0;0;0;0;0;0;0
712;2;2;0;0;2;0;2;0;2;0;0;2;0;2;2;0;0;0;0;0;0;0
912;2;4;9;0;2;2;2;4;2;4;2;4;4;2;4;4;6;0;0;6;6;0
413;4;6;0;4;4;4;4;4;6;4;6;6;4;6;6;0;0;4;2;0;0;0
064;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
046;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;2;0;2;0;0;0;0
646;4;4;12;0;2;4;2;2;4;2;4;4;2;4;4;8;8;2;2;8;8;0
022;0;0;3;2;0;0;0;0;0;0;0;0;0;0;0;2;2;2;0;2;2;1
527;4;6;9;4;2;4;2;2;2;2;2;2;0;2;6;6;6;4;2;6;6;0
248;2;10;15;0;8;8;8;10;8;10;8;8;8;8;10;14;14;0;2;10;10;0
433;2;6;9;0;4;2;4;2;6;2;6;6;2;6;6;8;8;2;2;6;6;0
461;0;10;12;0;0;0;10;0;12;0;12;10;0;12;10;12;12;0;0;8;8;0
573;0;0;3;0;0;2;0;0;0;0;0;0;0;0;0;2;2;0;0;2;2;0
124;0;2;6;0;0;0;0;0;0;0;0;0;0;0;2;6;6;0;0;4;4;0
565;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
118;2;6;12;0;6;4;6;6;6;6;6;6;6;6;6;8;8;0;2;6;6;0
534;0;2;3;0;0;0;0;0;2;0;0;2;0;2;2;2;2;2;0;2;2;0
645;6;4;6;0;4;6;6;4;4;4;4;4;4;4;4;6;4;2;6;4;4;0
423;2;2;3;0;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;0
943;2;4;3;0;2;4;4;4;4;4;2;4;4;4;4;2;2;0;2;2;2;0
711;0;2;9;0;0;2;0;2;2;2;4;2;2;2;2;6;6;2;0;6;6;0
552;0;2;3;0;2;0;2;0;2;0;0;2;0;2;2;2;2;0;0;2;2;0
021;2;2;3;4;2;2;2;2;2;2;2;2;2;2;2;2;2;6;6;2;2;0
231;0;2;6;0;2;4;2;4;2;4;2;2;4;2;2;4;4;2;4;4;4;0
562;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;2;2;0;0;2;2;0
429;2;6;6;0;4;2;2;4;4;2;4;4;4;4;4;6;4;0;2;4;4;1
