Statistischer Bezirk;Tankstellen (cls:L107);Reisebusparkplätze (cls:L738);Pendlerparkplätze (cls:L371);Bergbahnen (cls:L491);Bahnhöfe (cls:L490);Flughafen (cls:L489);Fähren/Anlegestellen (cls:L492);Fahrscheinautomaten (cls:L1086);DVB-Servicepunkte (cls:L1087);Mobilitätspunkte - in Betrieb (cls:L834);Mobilitätspunkte - Konzept, Planung (cls:L833)
545;0;0;0;0;0;0;0;0;0;0;1
922;0;0;0;0;0;0;0;0;0;0;0
992;2;0;0;0;0;0;0;0;0;0;0
351;0;0;0;0;0;0;0;0;0;0;0
966;0;0;0;0;0;0;0;0;0;0;0
731;0;0;0;0;0;0;0;0;0;0;0
514;0;0;0;0;0;0;0;0;0;0;0
111;2;0;0;0;0;0;0;2;0;0;0
759;0;0;0;0;0;0;0;0;0;0;0
626;2;0;0;0;0;0;0;0;0;0;0
079;0;0;0;0;0;0;0;1;0;0;0
846;0;0;0;0;0;0;0;0;0;0;0
517;0;0;0;0;0;0;0;1;0;0;0
473;0;0;0;0;0;0;0;0;0;0;0
144;0;0;0;0;0;0;0;0;0;0;0
934;0;0;0;0;0;0;0;0;0;0;0
994;0;0;0;0;0;0;0;0;0;0;0
315;0;0;0;0;0;0;0;1;0;0;0
054;6;0;0;0;1;0;0;0;0;0;0
361;0;0;0;0;1;0;0;0;0;0;1
715;0;0;0;0;0;0;0;0;0;0;0
906;0;0;0;0;0;0;0;0;0;0;0
621;0;0;0;0;0;0;0;1;0;0;0
841;0;0;0;0;0;0;0;0;0;0;0
725;0;0;0;0;0;0;0;0;0;0;0
251;2;0;0;0;0;0;0;1;0;0;0
546;0;0;0;0;0;0;0;2;0;0;0
751;2;0;0;0;0;0;0;0;0;0;0
222;0;0;0;0;0;0;0;0;0;0;0
478;0;0;0;0;0;0;0;0;0;0;0
616;0;0;0;0;0;0;0;0;0;0;0
154;0;0;0;0;0;0;0;0;0;0;0
142;0;0;0;0;0;0;0;0;0;0;0
822;4;0;0;0;0;0;0;0;0;0;0
908;0;0;0;0;0;0;0;0;0;0;0
744;0;0;0;0;0;0;0;0;0;0;0
228;0;0;0;0;0;0;0;0;0;0;0
837;0;0;0;0;0;0;0;0;0;0;0
758;0;0;0;0;0;0;0;0;0;0;0
225;6;0;1;0;0;0;0;3;0;0;1
134;0;0;0;0;0;0;0;2;0;0;0
256;0;0;0;0;0;0;0;0;0;0;0
761;0;0;0;0;0;0;0;2;0;0;2
923;0;0;0;0;0;0;0;0;0;0;0
933;2;0;0;0;0;0;0;1;0;0;0
997;0;0;0;0;0;0;0;0;0;0;0
143;0;0;0;0;1;0;0;0;0;0;1
866;0;0;0;0;0;0;0;0;0;0;0
555;0;0;0;0;0;0;0;0;0;0;0
914;0;0;0;0;0;0;0;1;0;0;0
034;2;0;0;0;1;0;0;3;0;0;0
062;0;0;0;0;0;0;0;1;0;0;1
733;0;0;0;0;0;0;0;0;0;0;0
811;0;0;0;0;0;0;0;1;0;0;0
863;0;0;0;0;0;0;0;1;0;0;0
714;2;0;0;0;0;0;0;0;0;0;0
516;0;0;0;0;0;0;0;0;0;0;0
113;0;0;0;0;0;0;0;0;0;0;0
821;0;0;0;0;0;0;0;0;0;0;0
909;0;0;0;0;0;0;0;0;0;0;0
762;0;0;0;0;0;0;0;1;0;0;0
471;2;0;0;0;0;0;0;0;0;0;0
771;0;0;0;0;0;0;0;2;0;0;0
246;2;0;0;0;1;0;0;0;0;0;0
757;0;0;0;0;0;0;0;0;0;0;0
579;2;0;0;0;0;0;0;0;0;0;1
623;0;0;0;0;0;0;0;0;0;0;0
224;0;0;0;0;0;0;0;0;0;0;0
133;4;1;0;0;0;0;0;2;1;0;0
932;2;0;0;0;0;0;0;0;0;0;0
996;0;0;0;0;0;0;0;0;0;0;0
243;0;0;0;0;0;0;0;0;0;0;0
967;0;0;0;0;0;0;0;0;0;0;0
314;0;0;0;0;0;0;0;0;0;0;0
055;4;2;0;0;0;0;0;0;0;0;0
362;0;0;0;0;0;0;0;0;0;0;0
984;2;0;0;0;0;0;0;1;0;0;1
907;0;0;0;0;0;0;0;0;0;0;0
257;0;0;0;0;0;0;0;0;0;0;0
476;0;0;0;0;0;0;0;0;0;0;0
834;0;0;0;0;0;0;0;0;0;0;0
614;4;0;0;0;1;0;0;1;0;0;1
843;2;0;0;0;0;0;0;1;0;0;1
953;0;0;0;0;0;0;0;0;0;0;0
071;0;0;0;0;0;0;0;0;0;0;0
732;0;0;0;0;0;0;0;0;0;0;0
112;0;0;0;0;0;0;0;0;0;0;0
332;0;0;0;0;0;0;0;0;0;0;0
756;6;0;0;0;0;0;0;1;0;0;0
962;0;0;0;0;0;0;0;0;0;0;0
812;0;0;0;0;0;0;0;0;0;0;1
981;2;0;0;0;1;0;0;0;0;0;0
232;0;0;0;0;0;0;0;0;0;0;0
035;2;0;0;0;0;0;0;0;0;1;0
644;0;0;0;0;0;0;0;0;0;0;0
643;0;0;0;0;0;0;0;0;0;0;0
122;4;1;0;0;0;0;1;0;0;0;0
978;0;0;0;0;0;0;0;0;0;0;0
