Statistischer Bezirk;Kirchen, Religiöse Einrichtungen (cls:L121);Ausstellungen, Galerien (cls:L496);Veranstaltungsorte (cls:L498);Theater, Musik, Tanz (cls:L499);Studentenclubs (cls:L493);Museen (cls:L497);Kulturelle Bildung, Soziokultur (cls:L500);Kinos (cls:L495);Bibliotheken (cls:L494)
113;3;0;0;0;0;0;0;0;2
821;3;0;0;0;0;0;0;0;0
909;0;0;2;2;0;0;0;0;0
762;3;0;0;0;0;0;0;0;0
471;3;0;0;0;0;0;0;0;0
771;3;0;0;0;0;0;0;0;0
246;3;0;0;0;0;0;0;0;0
757;0;0;0;0;0;0;0;0;0
579;0;2;0;0;0;0;0;0;0
623;0;0;0;0;0;0;0;0;0
224;0;0;0;0;0;0;0;0;0
133;3;4;0;0;0;0;0;0;0
932;0;2;0;0;0;0;0;2;0
996;0;0;0;0;0;0;0;0;0
243;0;0;0;0;0;0;0;0;2
967;3;0;0;0;0;0;0;0;0
314;0;0;0;0;0;0;0;0;2
055;0;2;6;2;0;0;2;0;0
362;0;0;0;0;0;0;0;0;0
984;0;0;0;2;0;0;0;0;0
907;0;0;0;0;0;0;0;0;0
257;3;0;0;2;0;0;0;0;0
476;0;0;0;0;0;0;0;0;0
834;0;0;0;0;0;0;0;0;0
614;3;0;0;0;0;0;0;0;0
843;0;0;0;0;0;0;0;0;2
953;0;0;0;0;0;0;0;0;0
071;3;0;0;0;2;0;0;0;0
732;3;0;0;0;0;0;0;0;0
112;0;0;0;0;0;0;0;0;0
332;0;0;0;0;0;0;0;0;0
756;0;0;0;0;0;0;0;0;0
962;0;0;0;0;0;0;0;0;0
812;0;0;0;0;0;0;0;0;0
981;0;0;0;0;0;0;0;0;0
232;0;0;0;0;0;0;0;0;0
035;0;2;10;0;0;4;0;0;0
644;0;0;0;0;0;0;0;0;0
643;0;0;0;0;0;0;0;0;0
122;3;6;0;0;0;0;4;0;0
978;0;0;0;0;0;0;0;0;0
511;0;0;0;0;0;0;0;0;0
721;0;0;0;0;0;0;0;0;0
414;0;0;0;0;0;0;0;0;0
524;0;0;0;0;0;0;0;0;0
114;3;4;0;2;0;0;4;0;0
726;0;0;0;0;0;0;0;0;0
342;0;0;0;0;0;0;0;0;0
