"Jahr";"Stadtraum";"Heizungsart";"Anteil in %"
"1998";"01 StB Altstadt ohne Johannstadt";"Fernheizung";90
"1998";"01 StB Altstadt ohne Johannstadt";"Zentralheizung oder Etagenheizung";8
"1998";"01 StB Altstadt ohne Johannstadt";"Einzelraumheizung";2
"1998";"02 Johannstadt";"Fernheizung";93
"1998";"02 Johannstadt";"Zentralheizung oder Etagenheizung";4
"1998";"02 Johannstadt";"Einzelraumheizung";4
"1998";"03 StB Neustadt ohne Leipziger Vorstadt";"Fernheizung";59
"1998";"03 StB Neustadt ohne Leipziger Vorstadt";"Zentralheizung oder Etagenheizung";32
"1998";"03 StB Neustadt ohne Leipziger Vorstadt";"Einzelraumheizung";9
"1998";"04 Leipziger Vorstadt, Pieschen";"Fernheizung";13
"1998";"04 Leipziger Vorstadt, Pieschen";"Zentralheizung oder Etagenheizung";54
"1998";"04 Leipziger Vorstadt, Pieschen";"Einzelraumheizung";33
"1998";"05 Mickten, Kaditz, Trachau";"Fernheizung";33
"1998";"05 Mickten, Kaditz, Trachau";"Zentralheizung oder Etagenheizung";52
"1998";"05 Mickten, Kaditz, Trachau";"Einzelraumheizung";15
"1998";"06 StB Klotzsche und nördliche OS";"Fernheizung";42
"1998";"06 StB Klotzsche und nördliche OS";"Zentralheizung oder Etagenheizung";49
"1998";"06 StB Klotzsche und nördliche OS";"Einzelraumheizung";9
"1998";"07 StB Loschwitz und OS Schönfeld-Weißig";"Fernheizung";5
"1998";"07 StB Loschwitz und OS Schönfeld-Weißig";"Zentralheizung oder Etagenheizung";83
"1998";"07 StB Loschwitz und OS Schönfeld-Weißig";"Einzelraumheizung";12
"1998";"08 Blasewitz, Striesen";"Fernheizung";56
"1998";"08 Blasewitz, Striesen";"Zentralheizung oder Etagenheizung";36
"1998";"08 Blasewitz, Striesen";"Einzelraumheizung";9
"1998";"09 Tolkewitz, Seidnitz, Gruna";"Fernheizung";70
"1998";"09 Tolkewitz, Seidnitz, Gruna";"Zentralheizung oder Etagenheizung";19
"1998";"09 Tolkewitz, Seidnitz, Gruna";"Einzelraumheizung";11
"1998";"10 StB Leuben";"Fernheizung";46
"1998";"10 StB Leuben";"Zentralheizung oder Etagenheizung";42
"1998";"10 StB Leuben";"Einzelraumheizung";12
"1998";"11 Prohlis, Reick (mit Sternhäuser, Am Koitschgraben)";"Fernheizung";81
"1998";"11 Prohlis, Reick (mit Sternhäuser, Am Koitschgraben)";"Zentralheizung oder Etagenheizung";17
"1998";"11 Prohlis, Reick (mit Sternhäuser, Am Koitschgraben)";"Einzelraumheizung";2
"1998";"12 Niedersedlitz, Leubnitz, Strehlen (ohne Sternhäuser, Am Koitschgraben)";"Fernheizung";35
"1998";"12 Niedersedlitz, Leubnitz, Strehlen (ohne Sternhäuser, Am Koitschgraben)";"Zentralheizung oder Etagenheizung";56
"1998";"12 Niedersedlitz, Leubnitz, Strehlen (ohne Sternhäuser, Am Koitschgraben)";"Einzelraumheizung";9
"1998";"13 Südvorstadt, Zschertnitz";"Fernheizung";68
"1998";"13 Südvorstadt, Zschertnitz";"Zentralheizung oder Etagenheizung";20
"1998";"13 Südvorstadt, Zschertnitz";"Einzelraumheizung";11
"1998";"14 Mockritz, Coschütz, Plauen";"Fernheizung";35
"1998";"14 Mockritz, Coschütz, Plauen";"Zentralheizung oder Etagenheizung";51
"1998";"14 Mockritz, Coschütz, Plauen";"Einzelraumheizung";14
"1998";"15 Cotta, Löbtau, Naußlitz, Dölzschen";"Fernheizung";20
"1998";"15 Cotta, Löbtau, Naußlitz, Dölzschen";"Zentralheizung oder Etagenheizung";61
"1998";"15 Cotta, Löbtau, Naußlitz, Dölzschen";"Einzelraumheizung";19
"1998";"16 Gorbitz";"Fernheizung";97
"1998";"16 Gorbitz";"Zentralheizung oder Etagenheizung";2
"1998";"16 Gorbitz";"Einzelraumheizung";1
"1998";"17 Briesnitz und westliche OS";"Fernheizung";10
"1998";"17 Briesnitz und westliche OS";"Zentralheizung oder Etagenheizung";80
"1998";"17 Briesnitz und westliche OS";"Einzelraumheizung";10
"1998";"18 Dresden gesamt";"Fernheizung";54
"1998";"18 Dresden gesamt";"Zentralheizung oder Etagenheizung";35
"1998";"18 Dresden gesamt";"Einzelraumheizung";11
"2002";"01 StB Altstadt ohne Johannstadt";"Fernheizung";87
"2002";"01 StB Altstadt ohne Johannstadt";"Zentralheizung oder Etagenheizung";13
"2002";"01 StB Altstadt ohne Johannstadt";"Einzelraumheizung";0
"2002";"02 Johannstadt";"Fernheizung";79
"2002";"02 Johannstadt";"Zentralheizung oder Etagenheizung";19
"2002";"02 Johannstadt";"Einzelraumheizung";2
"2002";"03 StB Neustadt ohne Leipziger Vorstadt";"Fernheizung";46
"2002";"03 StB Neustadt ohne Leipziger Vorstadt";"Zentralheizung oder Etagenheizung";52
"2002";"03 StB Neustadt ohne Leipziger Vorstadt";"Einzelraumheizung";2
"2002";"04 Leipziger Vorstadt, Pieschen";"Fernheizung";17
"2002";"04 Leipziger Vorstadt, Pieschen";"Zentralheizung oder Etagenheizung";78
"2002";"04 Leipziger Vorstadt, Pieschen";"Einzelraumheizung";5
"2002";"05 Mickten, Kaditz, Trachau";"Fernheizung";36
"2002";"05 Mickten, Kaditz, Trachau";"Zentralheizung oder Etagenheizung";59
"2002";"05 Mickten, Kaditz, Trachau";"Einzelraumheizung";5
"2002";"06 StB Klotzsche und nördliche OS";"Fernheizung";27
"2002";"06 StB Klotzsche und nördliche OS";"Zentralheizung oder Etagenheizung";70
"2002";"06 StB Klotzsche und nördliche OS";"Einzelraumheizung";3
"2002";"07 StB Loschwitz und OS Schönfeld-Weißig";"Fernheizung";7
"2002";"07 StB Loschwitz und OS Schönfeld-Weißig";"Zentralheizung oder Etagenheizung";87
"2002";"07 StB Loschwitz und OS Schönfeld-Weißig";"Einzelraumheizung";6
"2002";"08 Blasewitz, Striesen";"Fernheizung";53
