"Statistischer Bezirk";"Stadtteil zus.";"Stadtbezirk mit zugeordneten Ortschaften";"Stadtbezirk/Ortschaft";"Stadtraum";"Bautätigkeit - Art";"Genehmigungsjahr";"Gebäudeart";"Anzahl Gebäude";"Wohnungen gesamt"
"011  Innere Altstadt-Ost";"01 Innere Altstadt";"StB 0 Altstadt";"StB 0 Altstadt";"01 StB Altstadt ohne Johannstadt";"Umbau";"2004";"Nichtwohngebäude ohne Wohnungen";2;0
"011  Innere Altstadt-Ost";"01 Innere Altstadt";"StB 0 Altstadt";"StB 0 Altstadt";"01 StB Altstadt ohne Johannstadt";"Umbau";"2005";"Mehrfamilienhaus";1;24
"011  Innere Altstadt-Ost";"01 Innere Altstadt";"StB 0 Altstadt";"StB 0 Altstadt";"01 StB Altstadt ohne Johannstadt";"Umbau";"2005";"Nichtwohngebäude ohne Wohnungen";1;0
"011  Innere Altstadt-Ost";"01 Innere Altstadt";"StB 0 Altstadt";"StB 0 Altstadt";"01 StB Altstadt ohne Johannstadt";"Umbau";"2006";"Mehrfamilienhaus";3;36
"011  Innere Altstadt-Ost";"01 Innere Altstadt";"StB 0 Altstadt";"StB 0 Altstadt";"01 StB Altstadt ohne Johannstadt";"Umbau";"2006";"Nichtwohngebäude ohne Wohnungen";1;0
"011  Innere Altstadt-Ost";"01 Innere Altstadt";"StB 0 Altstadt";"StB 0 Altstadt";"01 StB Altstadt ohne Johannstadt";"Umbau";"2008";"Mehrfamilienhaus";1;12
"011  Innere Altstadt-Ost";"01 Innere Altstadt";"StB 0 Altstadt";"StB 0 Altstadt";"01 StB Altstadt ohne Johannstadt";"Umbau";"2009";"Nichtwohngebäude mit Wohnungen";1;19
"011  Innere Altstadt-Ost";"01 Innere Altstadt";"StB 0 Altstadt";"StB 0 Altstadt";"01 StB Altstadt ohne Johannstadt";"Umbau";"2011";"Nichtwohngebäude ohne Wohnungen";1;0
"011  Innere Altstadt-Ost";"01 Innere Altstadt";"StB 0 Altstadt";"StB 0 Altstadt";"01 StB Altstadt ohne Johannstadt";"Umbau";"2012";"Nichtwohngebäude ohne Wohnungen";1;0
"011  Innere Altstadt-Ost";"01 Innere Altstadt";"StB 0 Altstadt";"StB 0 Altstadt";"01 StB Altstadt ohne Johannstadt";"Umbau";"2013";"Mehrfamilienhaus";1;14
