"Statistischer Bezirk";"Stadtteil zus.";"Stadtbezirk mit zugeordneten Ortschaften";"Stadtbezirk/Ortschaft";"Stadtraum";"Bautätigkeit - Art";"Fertigstellungsjahr";"Gebäudeart";"Anzahl Gebäude";"Wohnungen gesamt"
"012  Innere Altstadt-West";"01 Innere Altstadt";"StB 0 Altstadt";"StB 0 Altstadt";"01 StB Altstadt ohne Johannstadt";"Neubau";"unbekannt";"Nichtwohngebäude ohne Wohnungen";4;0
"012  Innere Altstadt-West";"01 Innere Altstadt";"StB 0 Altstadt";"StB 0 Altstadt";"01 StB Altstadt ohne Johannstadt";"Umbau";"1994";"Nichtwohngebäude ohne Wohnungen";3;0
"012  Innere Altstadt-West";"01 Innere Altstadt";"StB 0 Altstadt";"StB 0 Altstadt";"01 StB Altstadt ohne Johannstadt";"Umbau";"2000";"Mehrfamilienhaus";1;14
"012  Innere Altstadt-West";"01 Innere Altstadt";"StB 0 Altstadt";"StB 0 Altstadt";"01 StB Altstadt ohne Johannstadt";"Umbau";"2001";"Mehrfamilienhaus";1;14
"012  Innere Altstadt-West";"01 Innere Altstadt";"StB 0 Altstadt";"StB 0 Altstadt";"01 StB Altstadt ohne Johannstadt";"Umbau";"2002";"Nichtwohngebäude ohne Wohnungen";2;0
"012  Innere Altstadt-West";"01 Innere Altstadt";"StB 0 Altstadt";"StB 0 Altstadt";"01 StB Altstadt ohne Johannstadt";"Umbau";"2003";"Mehrfamilienhaus";4;104
"012  Innere Altstadt-West";"01 Innere Altstadt";"StB 0 Altstadt";"StB 0 Altstadt";"01 StB Altstadt ohne Johannstadt";"Umbau";"2003";"Nichtwohngebäude mit Wohnungen";3;37
"012  Innere Altstadt-West";"01 Innere Altstadt";"StB 0 Altstadt";"StB 0 Altstadt";"01 StB Altstadt ohne Johannstadt";"Umbau";"2007";"Mehrfamilienhaus";1;15
"012  Innere Altstadt-West";"01 Innere Altstadt";"StB 0 Altstadt";"StB 0 Altstadt";"01 StB Altstadt ohne Johannstadt";"Umbau";"2008";"Mehrfamilienhaus";1;15
"012  Innere Altstadt-West";"01 Innere Altstadt";"StB 0 Altstadt";"StB 0 Altstadt";"01 StB Altstadt ohne Johannstadt";"Umbau";"2009";"Mehrfamilienhaus";16;216
"012  Innere Altstadt-West";"01 Innere Altstadt";"StB 0 Altstadt";"StB 0 Altstadt";"01 StB Altstadt ohne Johannstadt";"Umbau";"2010";"Mehrfamilienhaus";1;17
"012  Innere Altstadt-West";"01 Innere Altstadt";"StB 0 Altstadt";"StB 0 Altstadt";"01 StB Altstadt ohne Johannstadt";"Umbau";"2011";"Nichtwohngebäude ohne Wohnungen";1;0
"012  Innere Altstadt-West";"01 Innere Altstadt";"StB 0 Altstadt";"StB 0 Altstadt";"01 StB Altstadt ohne Johannstadt";"Umbau";"2016";"Nichtwohngebäude mit Wohnungen";1;8
"012  Innere Altstadt-West";"01 Innere Altstadt";"StB 0 Altstadt";"StB 0 Altstadt";"01 StB Altstadt ohne Johannstadt";"Umbau";"2018";"Mehrfamilienhaus";3;118
"012  Innere Altstadt-West";"01 Innere Altstadt";"StB 0 Altstadt";"StB 0 Altstadt";"01 StB Altstadt ohne Johannstadt";"Umbau";"unbekannt";"Mehrfamilienhaus";11;183
"021  Pirnaische Vs.(Grunaer-Süd)";"02 Pirnaische Vorstadt";"StB 0 Altstadt";"StB 0 Altstadt";"01 StB Altstadt ohne Johannstadt";"Neubau";"1994";"Nichtwohngebäude mit Wohnungen";1;1
"021  Pirnaische Vs.(Grunaer-Süd)";"02 Pirnaische Vorstadt";"StB 0 Altstadt";"StB 0 Altstadt";"01 StB Altstadt ohne Johannstadt";"Neubau";"unbekannt";"Mehrfamilienhaus";1;170
"021  Pirnaische Vs.(Grunaer-Süd)";"02 Pirnaische Vorstadt";"StB 0 Altstadt";"StB 0 Altstadt";"01 StB Altstadt ohne Johannstadt";"Neubau";"unbekannt";"Nichtwohngebäude ohne Wohnungen";1;0
