Jahr,Stadtraum,Anzahl Einwohner,mean_age
2015,10 StB Leuben,39276,46.20083511559222
2015,"11 Prohlis, Reick (mit Sternhäuser, Am Koitschgraben)",23378,45.62092565660022
2015,"12 Niedersedlitz, Leubnitz, Strehlen (ohne Sternhäuser, Am Koitschgraben)",34354,43.56683355649997
2015,"13 Südvorstadt, Zschertnitz",31875,39.59601568627451
2015,"14 Mockritz, Coschütz, Plauen",24980,42.55056044835869
2015,"15 Cotta, Löbtau, Naußlitz, Dölzschen",40719,37.23617967042413
2015,16 Gorbitz,21040,43.20998098859316
2015,17 Briesnitz und westliche OS,22981,44.00304599451721
2016,01 StB Altstadt ohne Johannstadt,33150,43.67149321266968
2016,02 Johannstadt,24825,48.562900302114805
2016,03 StB Neustadt ohne Leipziger Vorstadt,38016,35.432265361952865
2016,"04 Leipziger Vorstadt, Pieschen",38043,34.95749546565728
2016,"05 Mickten, Kaditz, Trachau",28923,41.681049683642776
2016,06 StB Klotzsche und nördliche OS,31139,45.06763222967982
2016,07 StB Loschwitz und OS Schönfeld-Weißig,33917,45.045935666479934
2016,"08 Blasewitz, Striesen",50435,41.73706751264003
2016,"09 Tolkewitz, Seidnitz, Gruna",38288,45.552888633514414
2016,10 StB Leuben,39594,46.227761782088194
2016,"11 Prohlis, Reick (mit Sternhäuser, Am Koitschgraben)",23870,45.23079178885631
2016,"12 Niedersedlitz, Leubnitz, Strehlen (ohne Sternhäuser, Am Koitschgraben)",34624,43.70716843807764
2016,"13 Südvorstadt, Zschertnitz",32305,39.65884537997214
2016,"14 Mockritz, Coschütz, Plauen",25308,42.509443654180494
2016,"15 Cotta, Löbtau, Naußlitz, Dölzschen",41594,37.239577823724574
2016,16 Gorbitz,21355,43.048232264106765
2016,17 Briesnitz und westliche OS,23213,44.13212424072718
2017,01 StB Altstadt ohne Johannstadt,33174,43.37396756496051
2017,02 Johannstadt,24784,48.34239832149774
2017,03 StB Neustadt ohne Leipziger Vorstadt,38027,35.43929313382596
2017,"04 Leipziger Vorstadt, Pieschen",37787,35.14931060946886
2017,"05 Mickten, Kaditz, Trachau",28589,41.99080065759558
2017,06 StB Klotzsche und nördliche OS,31186,45.19960879881998
2017,07 StB Loschwitz und OS Schönfeld-Weißig,33586,45.36247245876258
2017,"08 Blasewitz, Striesen",50749,41.75032020335376
2017,"09 Tolkewitz, Seidnitz, Gruna",38168,45.71696185286103
2017,10 StB Leuben,39270,46.5550547491724
2017,"11 Prohlis, Reick (mit Sternhäuser, Am Koitschgraben)",23478,45.40906380441264
2017,"12 Niedersedlitz, Leubnitz, Strehlen (ohne Sternhäuser, Am Koitschgraben)",34550,43.8928509406657
2017,"13 Südvorstadt, Zschertnitz",32291,39.366294013811896
2017,"14 Mockritz, Coschütz, Plauen",25122,42.70619377438102
2017,"15 Cotta, Löbtau, Naußlitz, Dölzschen",41976,37.29747951210215
2017,16 Gorbitz,21145,43.12182549065973
2017,17 Briesnitz und westliche OS,23216,44.29897484493453
