Jahr,Stadtraum,Lärm durch Straßenverkehr,Lärm durch Eisenbahnverkehr,Lärm durch Flugverkehr,Lärm von Baustellen,Lärm von Gewerbe/Industrie,Lärm durch Anwohner
2002,"08 Blasewitz, Striesen",3,1,1,1,1,2
2002,"09 Tolkewitz, Seidnitz, Gruna",3,1,1,1,1,2
2002,10 StB Leuben,2,1,1,2,1,2
2002,"11 Prohlis, Reick (mit Sternhäuser, Am Koitschgraben)",2,1,1,1,1,3
2002,"12 Niedersedlitz, Leubnitz, Strehlen (ohne Sternhäuser, Am Koitschgraben)",3,1,1,2,1,2
2002,"13 Südvorstadt, Zschertnitz",3,1,1,2,1,2
2002,"14 Mockritz, Coschütz, Plauen",3,1,1,2,1,2
2002,"15 Cotta, Löbtau, Naußlitz, Dölzschen",3,1,2,2,1,2
2002,16 Gorbitz,2,1,3,2,1,3
2002,17 Briesnitz und westliche OS,3,2,3,2,1,2
2002,18 Dresden gesamt,3,1,2,2,1,2
2005,01 StB Altstadt ohne Johannstadt,3,2,1,2,2,2
2005,02 Johannstadt,3,1,2,2,1,2
2005,03 StB Neustadt ohne Leipziger Vorstadt,3,1,2,2,1,2
2005,"04 Leipziger Vorstadt, Pieschen",3,2,2,2,1,2
2005,"05 Mickten, Kaditz, Trachau",3,2,3,2,1,2
2005,06 StB Klotzsche und nördliche OS,3,2,3,1,1,2
2005,07 StB Loschwitz und OS Schönfeld-Weißig,3,1,2,2,1,2
2005,"08 Blasewitz, Striesen",3,1,1,2,1,2
2005,"09 Tolkewitz, Seidnitz, Gruna",3,1,1,1,1,2
2005,10 StB Leuben,3,1,1,2,1,2
2005,"11 Prohlis, Reick (mit Sternhäuser, Am Koitschgraben)",3,2,1,1,1,2
2005,"12 Niedersedlitz, Leubnitz, Strehlen (ohne Sternhäuser, Am Koitschgraben)",3,1,1,2,1,2
2005,"13 Südvorstadt, Zschertnitz",3,1,2,2,1,2
2005,"14 Mockritz, Coschütz, Plauen",3,1,1,2,1,2
2005,"15 Cotta, Löbtau, Naußlitz, Dölzschen",3,1,2,2,1,2
2005,16 Gorbitz,3,1,2,1,1,3
2005,17 Briesnitz und westliche OS,3,2,3,2,1,2
2005,18 Dresden gesamt,3,1,2,2,1,2
2007,01 StB Altstadt ohne Johannstadt,3,2,1,2,2,3
2007,02 Johannstadt,3,1,1,2,1,2
2007,03 StB Neustadt ohne Leipziger Vorstadt,3,1,1,2,1,3
2007,"04 Leipziger Vorstadt, Pieschen",3,2,2,2,1,3
2007,"05 Mickten, Kaditz, Trachau",3,2,4,2,2,2
2007,06 StB Klotzsche und nördliche OS,2,2,3,2,1,2
2007,07 StB Loschwitz und OS Schönfeld-Weißig,2,1,1,1,1,2
2007,"08 Blasewitz, Striesen",3,1,1,2,1,2
2007,"09 Tolkewitz, Seidnitz, Gruna",3,2,1,1,1,2
