Jahr,Stadtraum,Fälle erfasst,Fälle aufgeklärt,Tatverdächtige insgesamt
2009,02 Johannstadt,1697,770,671
2009,03 StB Neustadt ohne Leipziger Vorstadt,4780,2457,2180
2009,"04 Leipziger Vorstadt, Pieschen",3261,1467,1362
2009,"05 Mickten, Kaditz, Trachau",2400,1262,1125
2009,06 StB Klotzsche und nördliche OS,1385,590,576
2009,07 StB Loschwitz und OS Schönfeld-Weißig,1058,501,501
2009,"08 Blasewitz, Striesen",2157,1093,899
2009,"09 Tolkewitz, Seidnitz, Gruna",1848,951,855
2009,10 StB Leuben,1400,720,663
2009,"11 Prohlis, Reick (mit Sternhäuser, Am Koitschgraben)",1789,1049,961
2009,"12 Niedersedlitz, Leubnitz, Strehlen (ohne Sternhäuser, Am Koitschgraben)",2046,1215,1029
2009,"13 Südvorstadt, Zschertnitz",2164,912,865
2009,"14 Mockritz, Coschütz, Plauen",1092,466,395
2009,"15 Cotta, Löbtau, Naußlitz, Dölzschen",3948,2603,1380
2009,16 Gorbitz,1515,802,714
2009,17 Briesnitz und westliche OS,826,338,301
2010,01 StB Altstadt ohne Johannstadt,7954,4513,4096
2010,02 Johannstadt,1754,860,651
2010,03 StB Neustadt ohne Leipziger Vorstadt,5374,2477,2257
2010,"04 Leipziger Vorstadt, Pieschen",3582,1546,1392
2010,"05 Mickten, Kaditz, Trachau",2287,1205,1043
2010,06 StB Klotzsche und nördliche OS,1476,773,711
2010,07 StB Loschwitz und OS Schönfeld-Weißig,1123,535,505
2010,"08 Blasewitz, Striesen",2268,1002,866
2010,"09 Tolkewitz, Seidnitz, Gruna",1867,978,828
2010,10 StB Leuben,1665,809,681
2010,"11 Prohlis, Reick (mit Sternhäuser, Am Koitschgraben)",2016,1198,1111
2010,"12 Niedersedlitz, Leubnitz, Strehlen (ohne Sternhäuser, Am Koitschgraben)",2343,1365,1244
2010,"13 Südvorstadt, Zschertnitz",3432,2164,1835
2010,"14 Mockritz, Coschütz, Plauen",1166,479,455
2010,"15 Cotta, Löbtau, Naußlitz, Dölzschen",3267,1786,1510
2010,16 Gorbitz,1668,929,787
2010,17 Briesnitz und westliche OS,978,394,357
2011,01 StB Altstadt ohne Johannstadt,8676,4440,3977
2011,02 Johannstadt,1946,850,641
2011,03 StB Neustadt ohne Leipziger Vorstadt,5911,2476,2297
2011,"04 Leipziger Vorstadt, Pieschen",4289,1620,1361
2011,"05 Mickten, Kaditz, Trachau",2659,1298,1184
2011,06 StB Klotzsche und nördliche OS,1520,698,621
2011,07 StB Loschwitz und OS Schönfeld-Weißig,1124,561,500
2011,"08 Blasewitz, Striesen",2343,957,832
2011,"09 Tolkewitz, Seidnitz, Gruna",2110,1035,892
2011,10 StB Leuben,1774,803,696
2011,"11 Prohlis, Reick (mit Sternhäuser, Am Koitschgraben)",2235,1239,1046
