,Jahr,Stadtraum,Heizenergie,Anteil in %
154,1995,"13 Südvorstadt, Zschertnitz",sonstige,0
155,1995,"14 Mockritz, Coschütz, Plauen",Kohle,"38,8"
156,1995,"14 Mockritz, Coschütz, Plauen",Gas,"44,3"
157,1995,"14 Mockritz, Coschütz, Plauen",Öl,11
158,1995,"14 Mockritz, Coschütz, Plauen",Strom,"2,4"
159,1995,"14 Mockritz, Coschütz, Plauen",sonstige,"3,5"
160,1995,"15 Cotta, Löbtau, Naußlitz, Dölzschen",Kohle,71
161,1995,"15 Cotta, Löbtau, Naußlitz, Dölzschen",Gas,"20,5"
162,1995,"15 Cotta, Löbtau, Naußlitz, Dölzschen",Öl,"7,3"
163,1995,"15 Cotta, Löbtau, Naußlitz, Dölzschen",Strom,"1,2"
164,1995,"15 Cotta, Löbtau, Naußlitz, Dölzschen",sonstige,0
165,1995,16 Gorbitz,Kohle,0
166,1995,16 Gorbitz,Gas,0
167,1995,16 Gorbitz,Öl,0
168,1995,16 Gorbitz,Strom,0
169,1995,16 Gorbitz,sonstige,0
170,1995,17 Briesnitz und westliche OS,Kohle,"48,7"
171,1995,17 Briesnitz und westliche OS,Gas,"47,6"
172,1995,17 Briesnitz und westliche OS,Öl,"1,6"
173,1995,17 Briesnitz und westliche OS,Strom,"2,1"
174,1995,17 Briesnitz und westliche OS,sonstige,0
175,1995,18 Dresden gesamt,Kohle,"61,2"
176,1995,18 Dresden gesamt,Gas,"29,2"
177,1995,18 Dresden gesamt,Öl,"6,2"
178,1995,18 Dresden gesamt,Strom,"2,7"
179,1995,18 Dresden gesamt,sonstige,"0,7"
180,1996,01 StB Altstadt ohne Johannstadt,Kohle,"51,3"
181,1996,01 StB Altstadt ohne Johannstadt,Gas,"25,7"
182,1996,01 StB Altstadt ohne Johannstadt,Öl,"14,1"
183,1996,01 StB Altstadt ohne Johannstadt,Strom,"4,4"
184,1996,01 StB Altstadt ohne Johannstadt,sonstige,"4,4"
185,1996,02 Johannstadt,Kohle,"77,9"
186,1996,02 Johannstadt,Gas,10
187,1996,02 Johannstadt,Öl,"2,7"
188,1996,02 Johannstadt,Strom,"9,4"
189,1996,02 Johannstadt,sonstige,0
190,1996,03 StB Neustadt ohne Leipziger Vorstadt,Kohle,66
191,1996,03 StB Neustadt ohne Leipziger Vorstadt,Gas,"27,1"
192,1996,03 StB Neustadt ohne Leipziger Vorstadt,Öl,"2,4"
193,1996,03 StB Neustadt ohne Leipziger Vorstadt,Strom,"4,6"
194,1996,03 StB Neustadt ohne Leipziger Vorstadt,sonstige,0
195,1996,"04 Leipziger Vorstadt, Pieschen",Kohle,"54,5"
196,1996,"04 Leipziger Vorstadt, Pieschen",Gas,"39,7"
197,1996,"04 Leipziger Vorstadt, Pieschen",Öl,"1,9"
198,1996,"04 Leipziger Vorstadt, Pieschen",Strom,"3,9"
