,Jahr,Stadtraum,Eigentümer des Gebäudes,Anteil in %
565,2010,16 Gorbitz,Eigentümer Wohnungsgenossenschaft,55
566,2010,16 Gorbitz,Eigentümer Stadt,27
567,2010,16 Gorbitz,Eigentümer privat,15
568,2010,17 Briesnitz und westliche OS,Eigennutzung,35
569,2010,17 Briesnitz und westliche OS,Eigentümer Wohnungsgenossenschaft,10
570,2010,17 Briesnitz und westliche OS,Eigentümer Stadt,2
571,2010,17 Briesnitz und westliche OS,Eigentümer privat,53
572,2010,18 Dresden gesamt,Eigennutzung,14
573,2010,18 Dresden gesamt,Eigentümer Wohnungsgenossenschaft,24
574,2010,18 Dresden gesamt,Eigentümer Stadt,14
575,2010,18 Dresden gesamt,Eigentümer privat,48
576,2012,01 StB Altstadt ohne Johannstadt,Eigennutzung,2
577,2012,01 StB Altstadt ohne Johannstadt,Eigentümer Wohnungsgenossenschaft,35
578,2012,01 StB Altstadt ohne Johannstadt,Eigentümer Stadt,30
579,2012,01 StB Altstadt ohne Johannstadt,Eigentümer privat,34
580,2012,02 Johannstadt,Eigennutzung,1
581,2012,02 Johannstadt,Eigentümer Wohnungsgenossenschaft,46
582,2012,02 Johannstadt,Eigentümer Stadt,29
583,2012,02 Johannstadt,Eigentümer privat,24
584,2012,03 StB Neustadt ohne Leipziger Vorstadt,Eigennutzung,8
585,2012,03 StB Neustadt ohne Leipziger Vorstadt,Eigentümer Wohnungsgenossenschaft,8
586,2012,03 StB Neustadt ohne Leipziger Vorstadt,Eigentümer Stadt,15
587,2012,03 StB Neustadt ohne Leipziger Vorstadt,Eigentümer privat,70
588,2012,"04 Leipziger Vorstadt, Pieschen",Eigennutzung,6
589,2012,"04 Leipziger Vorstadt, Pieschen",Eigentümer Wohnungsgenossenschaft,13
590,2012,"04 Leipziger Vorstadt, Pieschen",Eigentümer Stadt,3
591,2012,"04 Leipziger Vorstadt, Pieschen",Eigentümer privat,78
592,2012,"05 Mickten, Kaditz, Trachau",Eigennutzung,12
593,2012,"05 Mickten, Kaditz, Trachau",Eigentümer Wohnungsgenossenschaft,30
594,2012,"05 Mickten, Kaditz, Trachau",Eigentümer Stadt,6
595,2012,"05 Mickten, Kaditz, Trachau",Eigentümer privat,53
596,2012,06 StB Klotzsche und nördliche OS,Eigennutzung,49
597,2012,06 StB Klotzsche und nördliche OS,Eigentümer Wohnungsgenossenschaft,22
598,2012,06 StB Klotzsche und nördliche OS,Eigentümer Stadt,3
599,2012,06 StB Klotzsche und nördliche OS,Eigentümer privat,26
600,2012,07 StB Loschwitz und OS Schönfeld-Weißig,Eigennutzung,54
601,2012,07 StB Loschwitz und OS Schönfeld-Weißig,Eigentümer Wohnungsgenossenschaft,4
602,2012,07 StB Loschwitz und OS Schönfeld-Weißig,Eigentümer Stadt,2
603,2012,07 StB Loschwitz und OS Schönfeld-Weißig,Eigentümer privat,41
604,2012,"08 Blasewitz, Striesen",Eigennutzung,11
605,2012,"08 Blasewitz, Striesen",Eigentümer Wohnungsgenossenschaft,21
606,2012,"08 Blasewitz, Striesen",Eigentümer Stadt,13
607,2012,"08 Blasewitz, Striesen",Eigentümer privat,56
608,2012,"09 Tolkewitz, Seidnitz, Gruna",Eigennutzung,9
609,2012,"09 Tolkewitz, Seidnitz, Gruna",Eigentümer Wohnungsgenossenschaft,39
610,2012,"09 Tolkewitz, Seidnitz, Gruna",Eigentümer Stadt,18
611,2012,"09 Tolkewitz, Seidnitz, Gruna",Eigentümer privat,34
612,2012,10 StB Leuben,Eigennutzung,17
613,2012,10 StB Leuben,Eigentümer Wohnungsgenossenschaft,32
614,2012,10 StB Leuben,Eigentümer Stadt,16
615,2012,10 StB Leuben,Eigentümer privat,35
616,2012,"11 Prohlis, Reick (mit Sternhäuser, Am Koitschgraben)",Eigennutzung,9
617,2012,"11 Prohlis, Reick (mit Sternhäuser, Am Koitschgraben)",Eigentümer Wohnungsgenossenschaft,39
618,2012,"11 Prohlis, Reick (mit Sternhäuser, Am Koitschgraben)",Eigentümer Stadt,28
619,2012,"11 Prohlis, Reick (mit Sternhäuser, Am Koitschgraben)",Eigentümer privat,24
620,2012,"12 Niedersedlitz, Leubnitz, Strehlen (ohne Sternhäuser, Am Koitschgraben)",Eigennutzung,30
621,2012,"12 Niedersedlitz, Leubnitz, Strehlen (ohne Sternhäuser, Am Koitschgraben)",Eigentümer Wohnungsgenossenschaft,20
622,2012,"12 Niedersedlitz, Leubnitz, Strehlen (ohne Sternhäuser, Am Koitschgraben)",Eigentümer Stadt,5
623,2012,"12 Niedersedlitz, Leubnitz, Strehlen (ohne Sternhäuser, Am Koitschgraben)",Eigentümer privat,45
624,2012,"13 Südvorstadt, Zschertnitz",Eigennutzung,8
625,2012,"13 Südvorstadt, Zschertnitz",Eigentümer Wohnungsgenossenschaft,34
626,2012,"13 Südvorstadt, Zschertnitz",Eigentümer Stadt,35
627,2012,"13 Südvorstadt, Zschertnitz",Eigentümer privat,24
628,2012,"14 Mockritz, Coschütz, Plauen",Eigennutzung,23
629,2012,"14 Mockritz, Coschütz, Plauen",Eigentümer Wohnungsgenossenschaft,22
630,2012,"14 Mockritz, Coschütz, Plauen",Eigentümer Stadt,8
631,2012,"14 Mockritz, Coschütz, Plauen",Eigentümer privat,47
632,2012,"15 Cotta, Löbtau, Naußlitz, Dölzschen",Eigennutzung,11
633,2012,"15 Cotta, Löbtau, Naußlitz, Dölzschen",Eigentümer Wohnungsgenossenschaft,24
634,2012,"15 Cotta, Löbtau, Naußlitz, Dölzschen",Eigentümer Stadt,3
635,2012,"15 Cotta, Löbtau, Naußlitz, Dölzschen",Eigentümer privat,61
636,2012,16 Gorbitz,Eigennutzung,5
637,2012,16 Gorbitz,Eigentümer Wohnungsgenossenschaft,53
638,2012,16 Gorbitz,Eigentümer Stadt,31
639,2012,16 Gorbitz,Eigentümer privat,11
640,2012,17 Briesnitz und westliche OS,Eigennutzung,42
641,2012,17 Briesnitz und westliche OS,Eigentümer Wohnungsgenossenschaft,12
642,2012,17 Briesnitz und westliche OS,Eigentümer Stadt,2
643,2012,17 Briesnitz und westliche OS,Eigentümer privat,44
644,2012,18 Dresden gesamt,Eigennutzung,16
645,2012,18 Dresden gesamt,Eigentümer Wohnungsgenossenschaft,26
646,2012,18 Dresden gesamt,Eigentümer Stadt,14
647,2012,18 Dresden gesamt,Eigentümer privat,44
648,2014,01 StB Altstadt ohne Johannstadt,Eigennutzung,2
649,2014,01 StB Altstadt ohne Johannstadt,Eigentümer Wohnungsgenossenschaft,35
650,2014,01 StB Altstadt ohne Johannstadt,Eigentümer Stadt,27
651,2014,01 StB Altstadt ohne Johannstadt,Eigentümer privat,37
652,2014,02 Johannstadt,Eigennutzung,0
653,2014,02 Johannstadt,Eigentümer Wohnungsgenossenschaft,47
654,2014,02 Johannstadt,Eigentümer Stadt,24
655,2014,02 Johannstadt,Eigentümer privat,29
656,2014,03 StB Neustadt ohne Leipziger Vorstadt,Eigennutzung,7
657,2014,03 StB Neustadt ohne Leipziger Vorstadt,Eigentümer Wohnungsgenossenschaft,6
658,2014,03 StB Neustadt ohne Leipziger Vorstadt,Eigentümer Stadt,10
659,2014,03 StB Neustadt ohne Leipziger Vorstadt,Eigentümer privat,77
660,2014,"04 Leipziger Vorstadt, Pieschen",Eigennutzung,9
661,2014,"04 Leipziger Vorstadt, Pieschen",Eigentümer Wohnungsgenossenschaft,11
662,2014,"04 Leipziger Vorstadt, Pieschen",Eigentümer Stadt,5
663,2014,"04 Leipziger Vorstadt, Pieschen",Eigentümer privat,75
664,2014,"05 Mickten, Kaditz, Trachau",Eigennutzung,14
665,2014,"05 Mickten, Kaditz, Trachau",Eigentümer Wohnungsgenossenschaft,20
666,2014,"05 Mickten, Kaditz, Trachau",Eigentümer Stadt,4
667,2014,"05 Mickten, Kaditz, Trachau",Eigentümer privat,62
668,2014,06 StB Klotzsche und nördliche OS,Eigennutzung,47
669,2014,06 StB Klotzsche und nördliche OS,Eigentümer Wohnungsgenossenschaft,12
670,2014,06 StB Klotzsche und nördliche OS,Eigentümer Stadt,4
671,2014,06 StB Klotzsche und nördliche OS,Eigentümer privat,37
672,2014,07 StB Loschwitz und OS Schönfeld-Weißig,Eigennutzung,49
673,2014,07 StB Loschwitz und OS Schönfeld-Weißig,Eigentümer Wohnungsgenossenschaft,6
674,2014,07 StB Loschwitz und OS Schönfeld-Weißig,Eigentümer Stadt,1
675,2014,07 StB Loschwitz und OS Schönfeld-Weißig,Eigentümer privat,45
676,2014,"08 Blasewitz, Striesen",Eigennutzung,10
677,2014,"08 Blasewitz, Striesen",Eigentümer Wohnungsgenossenschaft,16
678,2014,"08 Blasewitz, Striesen",Eigentümer Stadt,13
679,2014,"08 Blasewitz, Striesen",Eigentümer privat,60
680,2014,"09 Tolkewitz, Seidnitz, Gruna",Eigennutzung,8
681,2014,"09 Tolkewitz, Seidnitz, Gruna",Eigentümer Wohnungsgenossenschaft,38
682,2014,"09 Tolkewitz, Seidnitz, Gruna",Eigentümer Stadt,17
683,2014,"09 Tolkewitz, Seidnitz, Gruna",Eigentümer privat,38
684,2014,10 StB Leuben,Eigennutzung,20
685,2014,10 StB Leuben,Eigentümer Wohnungsgenossenschaft,29
686,2014,10 StB Leuben,Eigentümer Stadt,17
687,2014,10 StB Leuben,Eigentümer privat,34
688,2014,"11 Prohlis, Reick (mit Sternhäuser, Am Koitschgraben)",Eigennutzung,6
689,2014,"11 Prohlis, Reick (mit Sternhäuser, Am Koitschgraben)",Eigentümer Wohnungsgenossenschaft,39
690,2014,"11 Prohlis, Reick (mit Sternhäuser, Am Koitschgraben)",Eigentümer Stadt,33
691,2014,"11 Prohlis, Reick (mit Sternhäuser, Am Koitschgraben)",Eigentümer privat,23
692,2014,"12 Niedersedlitz, Leubnitz, Strehlen (ohne Sternhäuser, Am Koitschgraben)",Eigennutzung,36
693,2014,"12 Niedersedlitz, Leubnitz, Strehlen (ohne Sternhäuser, Am Koitschgraben)",Eigentümer Wohnungsgenossenschaft,15
694,2014,"12 Niedersedlitz, Leubnitz, Strehlen (ohne Sternhäuser, Am Koitschgraben)",Eigentümer Stadt,6
695,2014,"12 Niedersedlitz, Leubnitz, Strehlen (ohne Sternhäuser, Am Koitschgraben)",Eigentümer privat,43
696,2014,"13 Südvorstadt, Zschertnitz",Eigennutzung,8
697,2014,"13 Südvorstadt, Zschertnitz",Eigentümer Wohnungsgenossenschaft,28
698,2014,"13 Südvorstadt, Zschertnitz",Eigentümer Stadt,43
699,2014,"13 Südvorstadt, Zschertnitz",Eigentümer privat,21
700,2014,"14 Mockritz, Coschütz, Plauen",Eigennutzung,23
701,2014,"14 Mockritz, Coschütz, Plauen",Eigentümer Wohnungsgenossenschaft,21
702,2014,"14 Mockritz, Coschütz, Plauen",Eigentümer Stadt,10
703,2014,"14 Mockritz, Coschütz, Plauen",Eigentümer privat,47
704,2014,"15 Cotta, Löbtau, Naußlitz, Dölzschen",Eigennutzung,11
705,2014,"15 Cotta, Löbtau, Naußlitz, Dölzschen",Eigentümer Wohnungsgenossenschaft,18
706,2014,"15 Cotta, Löbtau, Naußlitz, Dölzschen",Eigentümer Stadt,4
707,2014,"15 Cotta, Löbtau, Naußlitz, Dölzschen",Eigentümer privat,68
708,2014,16 Gorbitz,Eigennutzung,5
709,2014,16 Gorbitz,Eigentümer Wohnungsgenossenschaft,44
710,2014,16 Gorbitz,Eigentümer Stadt,35
711,2014,16 Gorbitz,Eigentümer privat,16
712,2014,17 Briesnitz und westliche OS,Eigennutzung,46
713,2014,17 Briesnitz und westliche OS,Eigentümer Wohnungsgenossenschaft,9
714,2014,17 Briesnitz und westliche OS,Eigentümer Stadt,3
715,2014,17 Briesnitz und westliche OS,Eigentümer privat,41
716,2014,18 Dresden gesamt,Eigennutzung,16
717,2014,18 Dresden gesamt,Eigentümer Wohnungsgenossenschaft,22
718,2014,18 Dresden gesamt,Eigentümer Stadt,14
719,2014,18 Dresden gesamt,Eigentümer privat,48
720,2016,01 StB Altstadt ohne Johannstadt,Eigennutzung,1
721,2016,01 StB Altstadt ohne Johannstadt,Eigentümer Wohnungsgenossenschaft,34
722,2016,01 StB Altstadt ohne Johannstadt,Eigentümer Stadt,29
723,2016,01 StB Altstadt ohne Johannstadt,Eigentümer privat,36
724,2016,02 Johannstadt,Eigennutzung,1
725,2016,02 Johannstadt,Eigentümer Wohnungsgenossenschaft,38
726,2016,02 Johannstadt,Eigentümer Stadt,29
727,2016,02 Johannstadt,Eigentümer privat,32
728,2016,03 StB Neustadt ohne Leipziger Vorstadt,Eigennutzung,4
729,2016,03 StB Neustadt ohne Leipziger Vorstadt,Eigentümer Wohnungsgenossenschaft,8
730,2016,03 StB Neustadt ohne Leipziger Vorstadt,Eigentümer Stadt,10
731,2016,03 StB Neustadt ohne Leipziger Vorstadt,Eigentümer privat,77
732,2016,"04 Leipziger Vorstadt, Pieschen",Eigennutzung,7
733,2016,"04 Leipziger Vorstadt, Pieschen",Eigentümer Wohnungsgenossenschaft,14
734,2016,"04 Leipziger Vorstadt, Pieschen",Eigentümer Stadt,5
735,2016,"04 Leipziger Vorstadt, Pieschen",Eigentümer privat,74
736,2016,"05 Mickten, Kaditz, Trachau",Eigennutzung,14
737,2016,"05 Mickten, Kaditz, Trachau",Eigentümer Wohnungsgenossenschaft,33
738,2016,"05 Mickten, Kaditz, Trachau",Eigentümer Stadt,6
739,2016,"05 Mickten, Kaditz, Trachau",Eigentümer privat,47
740,2016,06 StB Klotzsche und nördliche OS,Eigennutzung,45
741,2016,06 StB Klotzsche und nördliche OS,Eigentümer Wohnungsgenossenschaft,14
742,2016,06 StB Klotzsche und nördliche OS,Eigentümer Stadt,2
743,2016,06 StB Klotzsche und nördliche OS,Eigentümer privat,40
744,2016,07 StB Loschwitz und OS Schönfeld-Weißig,Eigennutzung,49
745,2016,07 StB Loschwitz und OS Schönfeld-Weißig,Eigentümer Wohnungsgenossenschaft,1
746,2016,07 StB Loschwitz und OS Schönfeld-Weißig,Eigentümer Stadt,0
747,2016,07 StB Loschwitz und OS Schönfeld-Weißig,Eigentümer privat,50
748,2016,"08 Blasewitz, Striesen",Eigennutzung,12
749,2016,"08 Blasewitz, Striesen",Eigentümer Wohnungsgenossenschaft,23
750,2016,"08 Blasewitz, Striesen",Eigentümer Stadt,11
751,2016,"08 Blasewitz, Striesen",Eigentümer privat,55
752,2016,"09 Tolkewitz, Seidnitz, Gruna",Eigennutzung,6
753,2016,"09 Tolkewitz, Seidnitz, Gruna",Eigentümer Wohnungsgenossenschaft,35
754,2016,"09 Tolkewitz, Seidnitz, Gruna",Eigentümer Stadt,19
755,2016,"09 Tolkewitz, Seidnitz, Gruna",Eigentümer privat,41
756,2016,10 StB Leuben,Eigennutzung,21
757,2016,10 StB Leuben,Eigentümer Wohnungsgenossenschaft,26
758,2016,10 StB Leuben,Eigentümer Stadt,15
759,2016,10 StB Leuben,Eigentümer privat,38
760,2016,"11 Prohlis, Reick (mit Sternhäuser, Am Koitschgraben)",Eigennutzung,6
761,2016,"11 Prohlis, Reick (mit Sternhäuser, Am Koitschgraben)",Eigentümer Wohnungsgenossenschaft,34
762,2016,"11 Prohlis, Reick (mit Sternhäuser, Am Koitschgraben)",Eigentümer Stadt,38
763,2016,"11 Prohlis, Reick (mit Sternhäuser, Am Koitschgraben)",Eigentümer privat,22
764,2016,"12 Niedersedlitz, Leubnitz, Strehlen (ohne Sternhäuser, Am Koitschgraben)",Eigennutzung,31
765,2016,"12 Niedersedlitz, Leubnitz, Strehlen (ohne Sternhäuser, Am Koitschgraben)",Eigentümer Wohnungsgenossenschaft,12
766,2016,"12 Niedersedlitz, Leubnitz, Strehlen (ohne Sternhäuser, Am Koitschgraben)",Eigentümer Stadt,9
767,2016,"12 Niedersedlitz, Leubnitz, Strehlen (ohne Sternhäuser, Am Koitschgraben)",Eigentümer privat,48
768,2016,"13 Südvorstadt, Zschertnitz",Eigennutzung,8
769,2016,"13 Südvorstadt, Zschertnitz",Eigentümer Wohnungsgenossenschaft,27
770,2016,"13 Südvorstadt, Zschertnitz",Eigentümer Stadt,35
771,2016,"13 Südvorstadt, Zschertnitz",Eigentümer privat,30
772,2016,"14 Mockritz, Coschütz, Plauen",Eigennutzung,20
773,2016,"14 Mockritz, Coschütz, Plauen",Eigentümer Wohnungsgenossenschaft,17
774,2016,"14 Mockritz, Coschütz, Plauen",Eigentümer Stadt,6
775,2016,"14 Mockritz, Coschütz, Plauen",Eigentümer privat,57
776,2016,"15 Cotta, Löbtau, Naußlitz, Dölzschen",Eigennutzung,14
777,2016,"15 Cotta, Löbtau, Naußlitz, Dölzschen",Eigentümer Wohnungsgenossenschaft,12
778,2016,"15 Cotta, Löbtau, Naußlitz, Dölzschen",Eigentümer Stadt,3
779,2016,"15 Cotta, Löbtau, Naußlitz, Dölzschen",Eigentümer privat,71
780,2016,16 Gorbitz,Eigennutzung,5
781,2016,16 Gorbitz,Eigentümer Wohnungsgenossenschaft,45
782,2016,16 Gorbitz,Eigentümer Stadt,35
783,2016,16 Gorbitz,Eigentümer privat,15
784,2016,17 Briesnitz und westliche OS,Eigennutzung,45
785,2016,17 Briesnitz und westliche OS,Eigentümer Wohnungsgenossenschaft,7
786,2016,17 Briesnitz und westliche OS,Eigentümer Stadt,4
787,2016,17 Briesnitz und westliche OS,Eigentümer privat,44
788,2016,18 Dresden gesamt,Eigennutzung,15
789,2016,18 Dresden gesamt,Eigentümer Wohnungsgenossenschaft,21
790,2016,18 Dresden gesamt,Eigentümer Stadt,14
791,2016,18 Dresden gesamt,Eigentümer privat,49
