,Jahr,Stadtraum,Eigentümer des Gebäudes,Anteil in %
247,1998,"08 Blasewitz, Striesen",Eigentümer privat,57
248,1998,"09 Tolkewitz, Seidnitz, Gruna",Eigennutzung,4
249,1998,"09 Tolkewitz, Seidnitz, Gruna",Eigentümer Wohnungsgenossenschaft,46
250,1998,"09 Tolkewitz, Seidnitz, Gruna",Eigentümer Stadt,25
251,1998,"09 Tolkewitz, Seidnitz, Gruna",Eigentümer privat,24
252,1998,10 StB Leuben,Eigennutzung,13
253,1998,10 StB Leuben,Eigentümer Wohnungsgenossenschaft,39
254,1998,10 StB Leuben,Eigentümer Stadt,17
255,1998,10 StB Leuben,Eigentümer privat,32
256,1998,"11 Prohlis, Reick (mit Sternhäuser, Am Koitschgraben)",Eigennutzung,5
257,1998,"11 Prohlis, Reick (mit Sternhäuser, Am Koitschgraben)",Eigentümer Wohnungsgenossenschaft,41
258,1998,"11 Prohlis, Reick (mit Sternhäuser, Am Koitschgraben)",Eigentümer Stadt,45
259,1998,"11 Prohlis, Reick (mit Sternhäuser, Am Koitschgraben)",Eigentümer privat,9
260,1998,"12 Niedersedlitz, Leubnitz, Strehlen (ohne Sternhäuser, Am Koitschgraben)",Eigennutzung,20
261,1998,"12 Niedersedlitz, Leubnitz, Strehlen (ohne Sternhäuser, Am Koitschgraben)",Eigentümer Wohnungsgenossenschaft,19
262,1998,"12 Niedersedlitz, Leubnitz, Strehlen (ohne Sternhäuser, Am Koitschgraben)",Eigentümer Stadt,10
263,1998,"12 Niedersedlitz, Leubnitz, Strehlen (ohne Sternhäuser, Am Koitschgraben)",Eigentümer privat,51
264,1998,"13 Südvorstadt, Zschertnitz",Eigennutzung,9
265,1998,"13 Südvorstadt, Zschertnitz",Eigentümer Wohnungsgenossenschaft,38
266,1998,"13 Südvorstadt, Zschertnitz",Eigentümer Stadt,36
267,1998,"13 Südvorstadt, Zschertnitz",Eigentümer privat,17
268,1998,"14 Mockritz, Coschütz, Plauen",Eigennutzung,18
269,1998,"14 Mockritz, Coschütz, Plauen",Eigentümer Wohnungsgenossenschaft,28
270,1998,"14 Mockritz, Coschütz, Plauen",Eigentümer Stadt,10
271,1998,"14 Mockritz, Coschütz, Plauen",Eigentümer privat,44
272,1998,"15 Cotta, Löbtau, Naußlitz, Dölzschen",Eigennutzung,8
273,1998,"15 Cotta, Löbtau, Naußlitz, Dölzschen",Eigentümer Wohnungsgenossenschaft,20
274,1998,"15 Cotta, Löbtau, Naußlitz, Dölzschen",Eigentümer Stadt,12
275,1998,"15 Cotta, Löbtau, Naußlitz, Dölzschen",Eigentümer privat,61
276,1998,16 Gorbitz,Eigennutzung,4
277,1998,16 Gorbitz,Eigentümer Wohnungsgenossenschaft,59
278,1998,16 Gorbitz,Eigentümer Stadt,31
279,1998,16 Gorbitz,Eigentümer privat,7
280,1998,17 Briesnitz und westliche OS,Eigennutzung,27
281,1998,17 Briesnitz und westliche OS,Eigentümer Wohnungsgenossenschaft,21
282,1998,17 Briesnitz und westliche OS,Eigentümer Stadt,6
283,1998,17 Briesnitz und westliche OS,Eigentümer privat,46
284,1998,18 Dresden gesamt,Eigennutzung,10
285,1998,18 Dresden gesamt,Eigentümer Wohnungsgenossenschaft,32
286,1998,18 Dresden gesamt,Eigentümer Stadt,21
287,1998,18 Dresden gesamt,Eigentümer privat,37
288,2002,01 StB Altstadt ohne Johannstadt,Eigennutzung,1
289,2002,01 StB Altstadt ohne Johannstadt,Eigentümer Wohnungsgenossenschaft,40
290,2002,01 StB Altstadt ohne Johannstadt,Eigentümer Stadt,38
291,2002,01 StB Altstadt ohne Johannstadt,Eigentümer privat,21
292,2002,02 Johannstadt,Eigennutzung,3
293,2002,02 Johannstadt,Eigentümer Wohnungsgenossenschaft,47
294,2002,02 Johannstadt,Eigentümer Stadt,35
