"Jahr";"Stadtteil zus.";"Stadtbezirk mit zugeordneten Ortschaften";"Stadtraum";"Wohnungen gesamt";"Wohnungen mit 1Raum";"Wohnungen mit 2 Räumen";"Wohnungen mit 3 Räumen";"Wohnungen mit 4 Räumen";"Wohnungen mit 5 Räumen";"Wohnungen mit 6 Räumen";"Wohnungen mit 7 u.mehr Räumen";"Gebäudeanzahl"
"2001";"01 Innere Altstadt";"StB 0 Altstadt";"01 StB Altstadt ohne Johannstadt";1026;118;462;271;140;33;2;0;79
"2001";"02 Pirnaische Vorstadt";"StB 0 Altstadt";"01 StB Altstadt ohne Johannstadt";4205;695;2200;1063;238;7;0;2;208
"2001";"03 Seevorstadt-Ost";"StB 0 Altstadt";"01 StB Altstadt ohne Johannstadt";4175;1457;1059;1437;168;38;11;5;277
"2001";"04 Wilsdruffer Vs./Seevs.-West";"StB 0 Altstadt";"01 StB Altstadt ohne Johannstadt";4951;463;2127;1880;457;21;3;0;369
"2001";"05 Friedrichstadt";"StB 0 Altstadt";"01 StB Altstadt ohne Johannstadt";4119;637;1664;1355;376;76;11;0;373
"2001";"06 Johannstadt-Nord";"StB 0 Altstadt";"02 Johannstadt";5991;559;2436;2357;554;72;8;5;310
"2001";"07 Johannstadt-Süd";"StB 0 Altstadt";"02 Johannstadt";7277;637;3291;3014;312;17;1;5;468
"2001";"11 Äußere Neustadt (Antonstadt)";"StB 1 Neustadt";"03 StB Neustadt ohne Leipziger Vorstadt";9417;974;4100;2886;1007;345;64;41;1115
"2001";"12 Radeberger Vorstadt";"StB 1 Neustadt";"03 StB Neustadt ohne Leipziger Vorstadt";4324;526;1235;1558;712;204;53;36;674
"2001";"13 Innere Neustadt";"StB 1 Neustadt";"03 StB Neustadt ohne Leipziger Vorstadt";3721;493;1128;1400;560;96;30;14;423
"2001";"14 Leipziger Vorstadt";"StB 1 Neustadt";"04 Leipziger Vorstadt, Pieschen";6530;465;2831;2359;712;132;24;7;768
"2001";"15 Albertstadt";"StB 1 Neustadt";"03 StB Neustadt ohne Leipziger Vorstadt";1166;158;481;396;103;27;0;1;140
"2001";"21 Pieschen-Süd";"StB 2 Pieschen";"04 Leipziger Vorstadt, Pieschen";6511;441;3150;2314;472;105;19;10;787
"2001";"22 Mickten";"StB 2 Pieschen";"05 Mickten, Kaditz, Trachau";7206;626;3054;2752;607;136;22;9;917
"2001";"23 Kaditz";"StB 2 Pieschen";"05 Mickten, Kaditz, Trachau";3076;204;1426;1011;267;102;45;21;880
"2001";"24 Trachau";"StB 2 Pieschen";"05 Mickten, Kaditz, Trachau";5401;245;1895;2058;920;201;61;21;1229
"2001";"25 Pieschen-N/Trachenberge";"StB 2 Pieschen";"04 Leipziger Vorstadt, Pieschen";7012;509;3169;2378;709;197;37;13;1067
"2001";"31 Klotzsche";"StB 3 Klotzsche/nördliche Ortschaften";"06 StB Klotzsche und nördliche OS";7164;957;1841;2519;1291;358;134;64;1690
"2001";"32 Hellerau/Wilschdorf";"StB 3 Klotzsche/nördliche Ortschaften";"06 StB Klotzsche und nördliche OS";2861;114;635;868;645;370;163;66;1917
"2001";"35 Weixdorf";"StB 3 Klotzsche/nördliche Ortschaften";"06 StB Klotzsche und nördliche OS";2571;67;537;739;627;409;141;51;1683
"2001";"36 Langebrück/Schönborn";"StB 3 Klotzsche/nördliche Ortschaften";"06 StB Klotzsche und nördliche OS";1795;43;298;586;409;278;149;32;1022
"2001";"41 Loschwitz/Wachwitz";"StB 4 Loschwitz/OS Schönfeld-Weißig";"07 StB Loschwitz und OS Schönfeld-Weißig";2719;146;765;803;550;235;130;90;1150
"2001";"42 Bühlau/Weißer Hirsch";"StB 4 Loschwitz/OS Schönfeld-Weißig";"07 StB Loschwitz und OS Schönfeld-Weißig";5393;299;1277;1756;1160;555;209;137;2167
