Statistischer Bezirk;Bodenrichtwerte (cls:L303);Bodenrichtwerte (cls:L483);Bodenrichtwertzonen 2015 - Beschriftung (cls:L580);Bodenleitwerte (cls:L295);Bodenrichtwerte (cls:L318);Bodenrichtwerte (cls:L308);Bodenrichtwerte (cls:L322);Bodenrichtwerte (cls:L311);Bodenrichtwerte (cls:L331);Bodenrichtwerte (cls:L312);Bodenrichtwerte (cls:L326);Bodenrichtwerte (cls:L335);Bodenrichtwerte (cls:L315);Bodenrichtwerte (cls:L329);Bodenrichtwerte (cls:L337);Bodenrichtwertzonen 2011 - Beschriftung (cls:L588);Bodenrichtwertzonen 2013 - Beschriftung (cls:L589);Bodenrichtwerte (cls:L298);Bodenrichtwerte (cls:L301);Bodenrichtwertzonen 2017 - Beschriftung (cls:L682);Bodenrichtwertzonen 2019 - Beschriftung (cls:L1079)
966;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
731;2;4;4;0;2;1;1;1;3;1;3;3;1;4;4;4;4;1;2;4;4
514;1;3;1;1;3;2;3;2;2;2;2;2;2;2;3;1;1;1;1;1;1
111;2;2;3;0;2;4;3;3;1;3;2;2;3;2;2;3;3;1;2;3;3
759;1;5;6;0;3;3;3;3;4;3;4;4;3;4;5;8;6;0;0;6;6
626;2;2;3;1;1;1;1;1;2;1;2;2;1;2;2;3;3;1;0;3;2
079;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
846;1;1;1;1;0;2;0;2;0;1;0;1;1;0;1;1;1;1;1;1;1
517;0;1;1;0;1;1;1;1;1;1;1;1;2;1;1;1;1;0;0;1;1
473;0;2;1;0;0;0;2;0;2;0;2;2;0;2;2;1;1;0;0;1;1
144;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1
934;0;1;0;0;0;0;1;0;0;0;1;0;0;0;0;1;0;0;0;0;0
994;0;1;2;0;0;0;1;0;1;0;1;1;0;1;1;2;2;0;0;2;2
315;2;4;4;1;3;3;3;3;3;3;3;3;3;3;4;4;4;1;2;3;3
054;0;1;4;1;1;0;1;1;1;1;1;1;1;1;1;4;4;1;0;4;4
361;0;3;5;0;0;0;3;0;3;0;3;3;0;3;3;4;5;0;0;5;5
715;0;1;1;0;0;0;0;0;0;0;0;0;0;0;1;1;1;0;0;1;1
906;0;2;4;0;0;0;2;0;2;0;2;2;0;2;2;5;4;0;0;4;4
621;4;4;1;1;3;3;3;4;4;4;3;4;4;4;4;1;1;0;2;1;2
841;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;1
725;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
251;2;1;3;0;1;2;1;0;1;1;1;1;1;1;1;3;3;0;2;3;3
546;0;1;1;0;1;1;1;1;1;1;1;1;1;1;1;1;1;0;0;1;1
751;2;2;2;1;2;2;2;2;2;2;2;2;2;2;2;2;2;1;2;2;3
222;0;1;1;0;1;2;1;1;1;1;1;1;1;1;1;1;1;0;0;1;1
478;0;1;1;0;0;0;1;0;1;0;1;1;0;1;1;1;1;0;0;1;1
616;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
154;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
142;2;1;1;0;1;1;1;1;1;1;1;1;1;1;1;1;1;0;1;1;1
822;1;2;2;0;1;1;1;1;2;1;1;2;1;1;2;1;2;1;1;2;2
908;0;2;1;0;0;0;2;0;2;0;2;2;0;2;2;1;1;0;0;1;1
744;0;2;1;0;0;0;2;0;2;0;2;2;0;2;2;1;1;0;0;1;2
228;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
837;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
758;0;0;1;0;0;0;0;0;1;0;0;0;0;1;0;3;1;0;0;1;1
225;2;3;7;0;3;3;3;3;2;3;3;2;3;3;3;8;8;1;1;6;6
134;1;1;1;2;1;1;1;1;1;1;1;1;1;1;1;1;1;0;0;1;1
256;1;2;2;1;1;1;1;1;1;0;1;2;0;1;2;3;3;1;2;2;2
761;4;2;3;2;3;3;3;3;2;3;3;2;3;2;2;3;3;2;2;3;3
923;1;2;0;0;2;1;2;1;2;2;2;2;2;2;2;0;0;0;0;0;0
933;1;1;3;0;1;1;1;1;1;1;1;1;1;1;1;5;3;0;0;3;3
997;0;1;1;0;0;0;1;0;1;0;1;1;0;1;1;1;1;0;0;1;1
143;1;1;1;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;2;1;1
