Statistischer Bezirk;Lebensmittelmärkte (cls:L700);WLAN-Hotspots (cls:L581);Paketstationen/Paketboxen (cls:L582);Märkte (cls:L108);Geldautomaten (cls:L110);Notare (cls:L109);Verbraucherberatung (cls:L461)
122;0;2;0;0;0;6;0
978;0;0;0;0;0;0;0
511;0;0;0;0;0;0;0
721;0;0;2;0;0;0;0
414;0;2;0;0;0;0;0
524;0;0;0;0;0;0;0
114;4;26;0;3;0;0;0
726;0;0;0;0;0;0;0
342;0;0;0;0;3;0;0
572;0;0;0;0;0;0;0
563;0;0;0;0;3;0;0
428;0;0;0;0;0;0;0
233;0;0;0;0;0;0;0
975;2;2;0;0;3;0;0
123;4;2;0;3;3;0;0
972;2;0;0;0;0;0;0
421;2;10;0;0;6;0;0
533;0;0;0;0;0;0;0
151;0;0;0;0;0;0;0
115;0;32;0;3;0;0;0
973;0;0;0;0;0;0;0
723;0;0;0;0;0;0;0
422;0;10;0;0;0;0;0
041;4;8;0;0;9;0;0
958;0;0;0;0;0;0;0
252;2;2;2;0;3;0;0
944;0;2;0;0;0;0;0
722;0;0;0;0;0;0;0
525;0;2;0;0;0;0;0
612;2;4;2;0;0;0;0
642;2;0;0;0;0;0;0
513;0;0;0;0;0;0;0
561;4;0;0;0;0;0;0
571;2;4;2;0;0;0;0
121;0;0;0;0;0;0;0
431;0;0;0;0;0;0;0
253;0;0;0;0;0;0;0
945;0;0;0;0;0;0;0
544;6;0;0;0;0;0;0
069;0;0;0;0;0;0;0
613;2;2;0;0;0;0;0
641;2;0;0;0;3;0;0
724;2;0;2;0;0;0;0
971;4;2;2;0;6;0;0
532;0;0;0;0;0;0;0
043;2;4;2;3;3;0;0
946;0;0;0;0;0;0;0
153;0;0;0;0;0;0;0
068;4;0;0;0;9;0;0
341;0;2;0;0;0;0;0
512;2;10;0;3;15;3;0
117;0;4;0;0;0;0;0
152;4;2;2;0;3;0;0
515;2;6;0;0;0;0;0
116;2;6;0;0;3;0;0
518;0;0;0;0;0;0;0
531;0;0;0;0;0;0;4
042;0;6;0;0;3;0;0
427;4;4;0;0;0;0;0
631;0;0;0;0;0;0;0
234;0;0;0;0;0;0;0
025;2;0;0;0;0;0;0
434;0;0;0;0;0;0;0
977;0;0;0;0;0;0;0
011;2;42;0;12;36;3;0
426;0;0;0;0;0;0;0
045;0;0;0;0;0;0;0
632;2;2;0;0;0;0;0
435;0;0;0;0;0;0;0
954;2;0;0;0;0;0;0
453;2;2;0;0;6;0;0
012;6;22;0;6;18;0;0
411;0;0;0;0;0;0;0
066;4;4;0;0;0;0;0
976;0;0;0;0;0;0;0
551;0;0;0;0;0;0;0
354;0;2;0;0;0;0;0
566;0;0;0;0;0;0;0
838;0;0;0;0;0;0;0
425;6;2;0;0;3;0;0
537;0;0;0;0;0;0;0
044;2;2;0;0;0;0;0
463;0;0;0;0;0;0;0
575;0;0;0;0;0;0;0
521;0;0;0;0;0;0;0
957;0;0;0;0;0;0;0
903;4;6;0;0;3;0;0
741;0;0;0;0;0;0;0
941;2;12;0;0;3;0;0
713;0;0;0;0;0;0;0
322;2;0;0;0;0;0;0
075;0;2;0;0;0;0;0
618;0;0;0;0;0;0;0
727;0;0;0;0;0;0;0
024;0;0;0;0;0;0;0
536;2;0;0;0;0;0;0
633;0;0;0;0;0;0;0
031;10;26;0;3;36;0;0
567;6;0;0;0;6;0;0
839;0;0;0;0;0;0;0
526;0;0;0;0;3;0;0
424;0;0;0;0;0;0;0
047;0;46;0;0;0;0;0
913;0;0;0;0;0;0;0
412;4;4;0;3;3;0;0
065;0;4;0;0;0;0;0
249;0;0;0;0;0;0;0
432;2;0;0;0;0;0;0
574;0;2;0;0;0;0;0
831;0;4;0;0;3;0;0
942;0;0;0;0;0;0;0
462;0;2;0;0;0;0;0
323;0;0;0;0;3;0;0
956;2;0;0;0;0;0;0
619;2;0;0;0;0;0;0
728;2;0;0;0;0;0;0
023;2;0;0;0;0;0;0
553;0;0;0;0;0;0;0
634;0;0;0;0;0;0;0
564;2;0;0;0;0;0;0
974;0;0;0;0;0;0;0
535;0;0;0;0;0;0;0
712;0;0;0;0;0;0;0
912;2;2;2;0;3;0;0
413;0;0;0;0;0;0;0
064;4;2;0;0;0;0;0
046;0;0;0;0;0;0;0
646;0;0;0;0;0;0;0
022;2;0;0;0;0;0;0
527;2;6;0;0;0;3;0
248;0;2;0;0;0;0;0
433;0;0;0;0;3;0;0
461;2;2;0;0;0;0;0
573;0;0;0;0;0;0;0
124;0;2;0;0;0;0;0
565;0;0;0;0;0;0;0
118;2;8;0;3;3;6;0
534;2;0;0;0;0;0;0
645;2;2;0;0;3;0;0
423;0;0;0;0;0;0;0
943;0;0;0;0;0;0;0
711;0;0;2;0;0;0;0
552;0;0;0;0;0;0;0
021;0;0;0;0;0;0;0
231;2;8;0;0;15;0;0
562;0;0;0;0;0;0;0
429;0;2;0;0;0;0;0
