,Jahr,Stadtraum,Anteil Wohnungen mit Bad,Anteil Wohnungen mit IWC,Anteil Wohnungen mit Balkon o.ä.
105,2005,16 Gorbitz,99,100,83
106,2005,17 Briesnitz und westliche OS,98,97,70
107,2005,18 Dresden gesamt,99,99,75
108,2007,01 StB Altstadt ohne Johannstadt,98,100,72
109,2007,02 Johannstadt,99,100,89
110,2007,03 StB Neustadt ohne Leipziger Vorstadt,96,98,63
111,2007,"04 Leipziger Vorstadt, Pieschen",98,99,58
112,2007,"05 Mickten, Kaditz, Trachau",99,100,69
113,2007,06 StB Klotzsche und nördliche OS,98,99,73
114,2007,07 StB Loschwitz und OS Schönfeld-Weißig,100,98,83
115,2007,"08 Blasewitz, Striesen",100,100,78
116,2007,"09 Tolkewitz, Seidnitz, Gruna",100,100,84
117,2007,10 StB Leuben,100,99,84
118,2007,"11 Prohlis, Reick (mit Sternhäuser, Am Koitschgraben)",100,99,78
119,2007,"12 Niedersedlitz, Leubnitz, Strehlen (ohne Sternhäuser, Am Koitschgraben)",100,100,73
120,2007,"13 Südvorstadt, Zschertnitz",99,99,70
121,2007,"14 Mockritz, Coschütz, Plauen",99,99,79
122,2007,"15 Cotta, Löbtau, Naußlitz, Dölzschen",97,98,66
123,2007,16 Gorbitz,99,100,80
124,2007,17 Briesnitz und westliche OS,99,98,72
125,2007,18 Dresden gesamt,99,99,74
126,2010,01 StB Altstadt ohne Johannstadt,100,100,74
127,2010,02 Johannstadt,97,100,84
128,2010,03 StB Neustadt ohne Leipziger Vorstadt,99,100,71
129,2010,"04 Leipziger Vorstadt, Pieschen",100,99,58
130,2010,"05 Mickten, Kaditz, Trachau",100,100,74
131,2010,06 StB Klotzsche und nördliche OS,97,100,73
132,2010,07 StB Loschwitz und OS Schönfeld-Weißig,100,98,87
133,2010,"08 Blasewitz, Striesen",98,99,75
134,2010,"09 Tolkewitz, Seidnitz, Gruna",100,100,88
135,2010,10 StB Leuben,100,100,82
136,2010,"11 Prohlis, Reick (mit Sternhäuser, Am Koitschgraben)",100,98,84
137,2010,"12 Niedersedlitz, Leubnitz, Strehlen (ohne Sternhäuser, Am Koitschgraben)",98,100,79
138,2010,"13 Südvorstadt, Zschertnitz",100,100,77
139,2010,"14 Mockritz, Coschütz, Plauen",97,97,80
140,2010,"15 Cotta, Löbtau, Naußlitz, Dölzschen",100,99,79
141,2010,16 Gorbitz,100,100,94
