Jahr,Stadtraum,Gestorbene
2006,10 StB Leuben,385
2006,"11 Prohlis, Reick (mit Sternhäuser, Am Koitschgraben)",255
2006,"12 Niedersedlitz, Leubnitz, Strehlen (ohne Sternhäuser, Am Koitschgraben)",302
2006,"13 Südvorstadt, Zschertnitz",185
2006,"14 Mockritz, Coschütz, Plauen",163
2006,"15 Cotta, Löbtau, Naußlitz, Dölzschen",246
2006,16 Gorbitz,275
2006,17 Briesnitz und westliche OS,153
2007,01 StB Altstadt ohne Johannstadt,481
2007,02 Johannstadt,430
2007,03 StB Neustadt ohne Leipziger Vorstadt,207
2007,"04 Leipziger Vorstadt, Pieschen",215
2007,"05 Mickten, Kaditz, Trachau",183
2007,06 StB Klotzsche und nördliche OS,276
2007,07 StB Loschwitz und OS Schönfeld-Weißig,267
2007,"08 Blasewitz, Striesen",348
2007,"09 Tolkewitz, Seidnitz, Gruna",272
2007,10 StB Leuben,404
2007,"11 Prohlis, Reick (mit Sternhäuser, Am Koitschgraben)",296
2007,"12 Niedersedlitz, Leubnitz, Strehlen (ohne Sternhäuser, Am Koitschgraben)",257
2007,"13 Südvorstadt, Zschertnitz",172
2007,"14 Mockritz, Coschütz, Plauen",196
2007,"15 Cotta, Löbtau, Naußlitz, Dölzschen",235
2007,16 Gorbitz,288
2007,17 Briesnitz und westliche OS,168
2008,01 StB Altstadt ohne Johannstadt,516
2008,02 Johannstadt,462
2008,03 StB Neustadt ohne Leipziger Vorstadt,193
2008,"04 Leipziger Vorstadt, Pieschen",232
2008,"05 Mickten, Kaditz, Trachau",199
2008,06 StB Klotzsche und nördliche OS,264
2008,07 StB Loschwitz und OS Schönfeld-Weißig,276
2008,"08 Blasewitz, Striesen",356
2008,"09 Tolkewitz, Seidnitz, Gruna",288
2008,10 StB Leuben,451
2008,"11 Prohlis, Reick (mit Sternhäuser, Am Koitschgraben)",282
2008,"12 Niedersedlitz, Leubnitz, Strehlen (ohne Sternhäuser, Am Koitschgraben)",260
2008,"13 Südvorstadt, Zschertnitz",176
2008,"14 Mockritz, Coschütz, Plauen",215
2008,"15 Cotta, Löbtau, Naußlitz, Dölzschen",243
2008,16 Gorbitz,280
2008,17 Briesnitz und westliche OS,140
2009,01 StB Altstadt ohne Johannstadt,568
2009,02 Johannstadt,464
2009,03 StB Neustadt ohne Leipziger Vorstadt,229
2009,"04 Leipziger Vorstadt, Pieschen",240
2009,"05 Mickten, Kaditz, Trachau",203
2009,06 StB Klotzsche und nördliche OS,300
2009,07 StB Loschwitz und OS Schönfeld-Weißig,299
2009,"08 Blasewitz, Striesen",383
2009,"09 Tolkewitz, Seidnitz, Gruna",307
2009,10 StB Leuben,393
2009,"11 Prohlis, Reick (mit Sternhäuser, Am Koitschgraben)",332
2009,"12 Niedersedlitz, Leubnitz, Strehlen (ohne Sternhäuser, Am Koitschgraben)",267
2009,"13 Südvorstadt, Zschertnitz",181
2009,"14 Mockritz, Coschütz, Plauen",225
2009,"15 Cotta, Löbtau, Naußlitz, Dölzschen",235
2009,16 Gorbitz,312
2009,17 Briesnitz und westliche OS,155
2010,01 StB Altstadt ohne Johannstadt,550
2010,02 Johannstadt,425
2010,03 StB Neustadt ohne Leipziger Vorstadt,228
2010,"04 Leipziger Vorstadt, Pieschen",232
2010,"05 Mickten, Kaditz, Trachau",175
2010,06 StB Klotzsche und nördliche OS,246
2010,07 StB Loschwitz und OS Schönfeld-Weißig,270
2010,"08 Blasewitz, Striesen",351
2010,"09 Tolkewitz, Seidnitz, Gruna",319
2010,10 StB Leuben,462
2010,"11 Prohlis, Reick (mit Sternhäuser, Am Koitschgraben)",295
2010,"12 Niedersedlitz, Leubnitz, Strehlen (ohne Sternhäuser, Am Koitschgraben)",234
2010,"13 Südvorstadt, Zschertnitz",174
2010,"14 Mockritz, Coschütz, Plauen",196
2010,"15 Cotta, Löbtau, Naußlitz, Dölzschen",238
2010,16 Gorbitz,312
2010,17 Briesnitz und westliche OS,170
2011,01 StB Altstadt ohne Johannstadt,478
2011,02 Johannstadt,417
2011,03 StB Neustadt ohne Leipziger Vorstadt,240
2011,"04 Leipziger Vorstadt, Pieschen",245
2011,"05 Mickten, Kaditz, Trachau",187
2011,06 StB Klotzsche und nördliche OS,246
2011,07 StB Loschwitz und OS Schönfeld-Weißig,278
2011,"08 Blasewitz, Striesen",354
2011,"09 Tolkewitz, Seidnitz, Gruna",295
2011,10 StB Leuben,425
2011,"11 Prohlis, Reick (mit Sternhäuser, Am Koitschgraben)",293
