Jahr,Stadtraum,Geborene
2001,"12 Niedersedlitz, Leubnitz, Strehlen (ohne Sternhäuser, Am Koitschgraben)",253
2001,"13 Südvorstadt, Zschertnitz",165
2001,"14 Mockritz, Coschütz, Plauen",190
2001,"15 Cotta, Löbtau, Naußlitz, Dölzschen",340
2001,16 Gorbitz,91
2001,17 Briesnitz und westliche OS,136
2003,01 StB Altstadt ohne Johannstadt,153
2003,02 Johannstadt,148
2003,03 StB Neustadt ohne Leipziger Vorstadt,384
2003,"04 Leipziger Vorstadt, Pieschen",399
2003,"05 Mickten, Kaditz, Trachau",270
2003,06 StB Klotzsche und nördliche OS,267
2003,07 StB Loschwitz und OS Schönfeld-Weißig,307
2003,"08 Blasewitz, Striesen",486
2003,"09 Tolkewitz, Seidnitz, Gruna",278
2003,10 StB Leuben,256
2003,"11 Prohlis, Reick (mit Sternhäuser, Am Koitschgraben)",142
2003,"12 Niedersedlitz, Leubnitz, Strehlen (ohne Sternhäuser, Am Koitschgraben)",272
2003,"13 Südvorstadt, Zschertnitz",182
2003,"14 Mockritz, Coschütz, Plauen",213
2003,"15 Cotta, Löbtau, Naußlitz, Dölzschen",432
2003,16 Gorbitz,103
2003,17 Briesnitz und westliche OS,157
2004,01 StB Altstadt ohne Johannstadt,174
2004,02 Johannstadt,161
2004,03 StB Neustadt ohne Leipziger Vorstadt,438
2004,"04 Leipziger Vorstadt, Pieschen",439
2004,"05 Mickten, Kaditz, Trachau",296
2004,06 StB Klotzsche und nördliche OS,248
2004,07 StB Loschwitz und OS Schönfeld-Weißig,303
2004,"08 Blasewitz, Striesen",567
2004,"09 Tolkewitz, Seidnitz, Gruna",277
2004,10 StB Leuben,304
2004,"11 Prohlis, Reick (mit Sternhäuser, Am Koitschgraben)",127
2004,"12 Niedersedlitz, Leubnitz, Strehlen (ohne Sternhäuser, Am Koitschgraben)",274
2004,"13 Südvorstadt, Zschertnitz",163
2004,"14 Mockritz, Coschütz, Plauen",237
2004,"15 Cotta, Löbtau, Naußlitz, Dölzschen",416
