Jahr,Stadtraum,Anteil_Haushalte_ohne_Kinder
2013,"04 Leipziger Vorstadt, Pieschen",0.8083796015490132
2013,"05 Mickten, Kaditz, Trachau",0.7954545454545454
2013,06 StB Klotzsche und nördliche OS,0.7707310228707731
2013,07 StB Loschwitz und OS Schönfeld-Weißig,0.7626105044201769
2013,"08 Blasewitz, Striesen",0.79184532626491
2013,"09 Tolkewitz, Seidnitz, Gruna",0.8288241415192508
2013,10 StB Leuben,0.8141494895010595
2013,"11 Prohlis, Reick (mit Sternhäuser, Am Koitschgraben)",0.8510462761569039
2013,"12 Niedersedlitz, Leubnitz, Strehlen (ohne Sternhäuser, Am Koitschgraben)",0.7948810382119683
2013,"13 Südvorstadt, Zschertnitz",0.8694204290746077
2013,"14 Mockritz, Coschütz, Plauen",0.8076804915514593
2013,"15 Cotta, Löbtau, Naußlitz, Dölzschen",0.825198438801912
2013,16 Gorbitz,0.8553798999838683
2013,17 Briesnitz und westliche OS,0.7769711450101084
2014,01 StB Altstadt ohne Johannstadt,0.9046476921436947
2014,02 Johannstadt,0.8753497275806215
2014,03 StB Neustadt ohne Leipziger Vorstadt,0.8155312717972565
2014,"04 Leipziger Vorstadt, Pieschen",0.8040831442988751
2014,"05 Mickten, Kaditz, Trachau",0.7924647575700108
2014,06 StB Klotzsche und nördliche OS,0.7689904179975003
2014,07 StB Loschwitz und OS Schönfeld-Weißig,0.7596346913660211
2014,"08 Blasewitz, Striesen",0.7890937019969279
2014,"09 Tolkewitz, Seidnitz, Gruna",0.8258799365138643
2014,10 StB Leuben,0.8118505100581561
2014,"11 Prohlis, Reick (mit Sternhäuser, Am Koitschgraben)",0.8505831979920272
2014,"12 Niedersedlitz, Leubnitz, Strehlen (ohne Sternhäuser, Am Koitschgraben)",0.7942084025634939
2014,"13 Südvorstadt, Zschertnitz",0.8647201643528606
2014,"14 Mockritz, Coschütz, Plauen",0.8063732928679818
2014,"15 Cotta, Löbtau, Naußlitz, Dölzschen",0.8198666953343366
2014,16 Gorbitz,0.8543697076210257
2014,17 Briesnitz und westliche OS,0.7749434644957033
2015,01 StB Altstadt ohne Johannstadt,0.9019277362266933
2015,02 Johannstadt,0.8705473501303215
2015,03 StB Neustadt ohne Leipziger Vorstadt,0.8107086904432771
2015,"04 Leipziger Vorstadt, Pieschen",0.7980279603740394
2015,"05 Mickten, Kaditz, Trachau",0.7875899507637925
2015,06 StB Klotzsche und nördliche OS,0.768051912191081
2015,07 StB Loschwitz und OS Schönfeld-Weißig,0.7573675762439808
2015,"08 Blasewitz, Striesen",0.7879156374691241
2015,"09 Tolkewitz, Seidnitz, Gruna",0.822814856185423
2015,10 StB Leuben,0.8101944049312471
2015,"11 Prohlis, Reick (mit Sternhäuser, Am Koitschgraben)",0.8481364867833345
2015,"12 Niedersedlitz, Leubnitz, Strehlen (ohne Sternhäuser, Am Koitschgraben)",0.7926391910165207
2015,"13 Südvorstadt, Zschertnitz",0.8588704650292981
2015,"14 Mockritz, Coschütz, Plauen",0.8023317435082141
2015,"15 Cotta, Löbtau, Naußlitz, Dölzschen",0.8172070353888535
2015,16 Gorbitz,0.8502170767004341
2015,17 Briesnitz und westliche OS,0.770366369610226
2016,01 StB Altstadt ohne Johannstadt,0.8945510360706063
2016,02 Johannstadt,0.8648395239812477
2016,03 StB Neustadt ohne Leipziger Vorstadt,0.8064842027920647
2016,"04 Leipziger Vorstadt, Pieschen",0.7964157375840781
2016,"05 Mickten, Kaditz, Trachau",0.787888355645365
2016,06 StB Klotzsche und nördliche OS,0.7622607860621442
2016,07 StB Loschwitz und OS Schönfeld-Weißig,0.7553901927113147
2016,"08 Blasewitz, Striesen",0.7839466886301524
2016,"09 Tolkewitz, Seidnitz, Gruna",0.8208269525267994
2016,10 StB Leuben,0.807282036694638
2016,"11 Prohlis, Reick (mit Sternhäuser, Am Koitschgraben)",0.8422745212688203
2016,"12 Niedersedlitz, Leubnitz, Strehlen (ohne Sternhäuser, Am Koitschgraben)",0.7895168855534709
2016,"13 Südvorstadt, Zschertnitz",0.8526393868216096
2016,"14 Mockritz, Coschütz, Plauen",0.7998938026245923
2016,"15 Cotta, Löbtau, Naußlitz, Dölzschen",0.8130245048674052
2016,16 Gorbitz,0.8453312051077414
2016,17 Briesnitz und westliche OS,0.7690930253379891
2017,01 StB Altstadt ohne Johannstadt,0.8934265452899461
2017,02 Johannstadt,0.857400461627236
2017,03 StB Neustadt ohne Leipziger Vorstadt,0.7982706282770674
2017,"04 Leipziger Vorstadt, Pieschen",0.7908451675168896
2017,"05 Mickten, Kaditz, Trachau",0.7879208170470307
2017,06 StB Klotzsche und nördliche OS,0.7605186736003242
2017,07 StB Loschwitz und OS Schönfeld-Weißig,0.7536509151202092
2017,"08 Blasewitz, Striesen",0.7793477458865196
2017,"09 Tolkewitz, Seidnitz, Gruna",0.819206429858192
2017,10 StB Leuben,0.8086056231003039
2017,"11 Prohlis, Reick (mit Sternhäuser, Am Koitschgraben)",0.8423028785982478
2017,"12 Niedersedlitz, Leubnitz, Strehlen (ohne Sternhäuser, Am Koitschgraben)",0.7880278802788028
2017,"13 Südvorstadt, Zschertnitz",0.8450634783680513
2017,"14 Mockritz, Coschütz, Plauen",0.7992467043314501
2017,"15 Cotta, Löbtau, Naußlitz, Dölzschen",0.8128548340309146
2017,16 Gorbitz,0.8424750499001996
2017,17 Briesnitz und westliche OS,0.7678635226866738
2018,01 StB Altstadt ohne Johannstadt,0.888041216684831
2018,02 Johannstadt,0.8515037593984962
2018,03 StB Neustadt ohne Leipziger Vorstadt,0.7930409737062157
2018,"04 Leipziger Vorstadt, Pieschen",0.7909604519774012
2018,"05 Mickten, Kaditz, Trachau",0.7863452801615346
2018,06 StB Klotzsche und nördliche OS,0.7584762933945698
2018,07 StB Loschwitz und OS Schönfeld-Weißig,0.7545240967680488
2018,"08 Blasewitz, Striesen",0.7774249529224975
2018,"09 Tolkewitz, Seidnitz, Gruna",0.8176787873151679
2018,10 StB Leuben,0.806990809086147
2018,"11 Prohlis, Reick (mit Sternhäuser, Am Koitschgraben)",0.8402999480288069
2018,"12 Niedersedlitz, Leubnitz, Strehlen (ohne Sternhäuser, Am Koitschgraben)",0.7895813844714686
2018,"13 Südvorstadt, Zschertnitz",0.8377236580516899
2018,"14 Mockritz, Coschütz, Plauen",0.7958889563106796
2018,"15 Cotta, Löbtau, Naußlitz, Dölzschen",0.8104507346227277
2018,16 Gorbitz,0.8391033822590938
2018,17 Briesnitz und westliche OS,0.7683455784721608
