Jahr,Stadtraum,Anzahl_Kinder_pro_Haushalt
2006,"13 Südvorstadt, Zschertnitz",1.584051724137931
2006,"14 Mockritz, Coschütz, Plauen",1.5748502994011977
2006,"15 Cotta, Löbtau, Naußlitz, Dölzschen",1.5880681818181817
2006,16 Gorbitz,1.65
2006,17 Briesnitz und westliche OS,1.5445205479452055
2007,01 StB Altstadt ohne Johannstadt,1.622093023255814
2007,02 Johannstadt,1.5888429752066116
2007,03 StB Neustadt ohne Leipziger Vorstadt,1.5606060606060606
2007,"04 Leipziger Vorstadt, Pieschen",1.6138988095238096
2007,"05 Mickten, Kaditz, Trachau",1.5568181818181817
2007,06 StB Klotzsche und nördliche OS,1.565884476534296
2007,07 StB Loschwitz und OS Schönfeld-Weißig,1.5538720538720538
2007,"08 Blasewitz, Striesen",1.549363057324841
2007,"09 Tolkewitz, Seidnitz, Gruna",1.5625
2007,10 StB Leuben,1.5634615384615385
2007,"11 Prohlis, Reick (mit Sternhäuser, Am Koitschgraben)",1.5848765432098766
2007,"12 Niedersedlitz, Leubnitz, Strehlen (ohne Sternhäuser, Am Koitschgraben)",1.5708154506437768
2007,"13 Südvorstadt, Zschertnitz",1.574803149606299
2007,"14 Mockritz, Coschütz, Plauen",1.572857142857143
2007,"15 Cotta, Löbtau, Naußlitz, Dölzschen",1.5810439560439562
2007,16 Gorbitz,1.5951612903225807
2007,17 Briesnitz und westliche OS,1.5419463087248322
2008,01 StB Altstadt ohne Johannstadt,1.6117021276595744
2008,02 Johannstadt,1.5772727272727272
2008,03 StB Neustadt ohne Leipziger Vorstadt,1.5548780487804879
2008,"04 Leipziger Vorstadt, Pieschen",1.5873379099923721
2008,"05 Mickten, Kaditz, Trachau",1.565
2008,06 StB Klotzsche und nördliche OS,1.5654761904761905
2008,07 StB Loschwitz und OS Schönfeld-Weißig,1.5483050847457627
2008,"08 Blasewitz, Striesen",1.5489766081871346
2008,"09 Tolkewitz, Seidnitz, Gruna",1.5650887573964498
2008,10 StB Leuben,1.5775862068965516
2008,"11 Prohlis, Reick (mit Sternhäuser, Am Koitschgraben)",1.5887573964497042
2008,"12 Niedersedlitz, Leubnitz, Strehlen (ohne Sternhäuser, Am Koitschgraben)",1.5696902654867255
2008,"13 Südvorstadt, Zschertnitz",1.58
2008,"14 Mockritz, Coschütz, Plauen",1.5714285714285714
2008,"15 Cotta, Löbtau, Naußlitz, Dölzschen",1.5761421319796955
2008,16 Gorbitz,1.5920138888888888
2008,17 Briesnitz und westliche OS,1.5348101265822784
2009,01 StB Altstadt ohne Johannstadt,1.5957943925233646
2009,02 Johannstadt,1.5862068965517242
2009,03 StB Neustadt ohne Leipziger Vorstadt,1.5533596837944663
2009,"04 Leipziger Vorstadt, Pieschen",1.58330223880597
2009,"05 Mickten, Kaditz, Trachau",1.5657894736842106
2009,06 StB Klotzsche und nördliche OS,1.5652542372881357
2009,07 StB Loschwitz und OS Schönfeld-Weißig,1.5482315112540193
2009,"08 Blasewitz, Striesen",1.546831955922865
2009,"09 Tolkewitz, Seidnitz, Gruna",1.5635593220338984
2009,10 StB Leuben,1.5768518518518517
2009,"11 Prohlis, Reick (mit Sternhäuser, Am Koitschgraben)",1.5803030303030303
2009,"12 Niedersedlitz, Leubnitz, Strehlen (ohne Sternhäuser, Am Koitschgraben)",1.5671806167400881
2009,"13 Südvorstadt, Zschertnitz",1.5643382352941178
2009,"14 Mockritz, Coschütz, Plauen",1.5759162303664922
2009,"15 Cotta, Löbtau, Naußlitz, Dölzschen",1.5587499999999999
2009,16 Gorbitz,1.5954861111111112
2009,17 Briesnitz und westliche OS,1.5425170068027212
2010,01 StB Altstadt ohne Johannstadt,1.5964912280701755
2010,02 Johannstadt,1.576
2010,03 StB Neustadt ohne Leipziger Vorstadt,1.5475778546712804
2010,"04 Leipziger Vorstadt, Pieschen",1.5812911343399148
2010,"05 Mickten, Kaditz, Trachau",1.5619158878504673
2010,06 StB Klotzsche und nördliche OS,1.555466237942122
2010,07 StB Loschwitz und OS Schönfeld-Weißig,1.5492424242424243
2010,"08 Blasewitz, Striesen",1.5378787878787878
